2024_Promise,Forecast,Similarity_Score,Historical_Match,Historical_Year,ROUGE_1,ROUGE_2,ROUGE_L,BERTScore_P,BERTScore_R,BERTScore_F1
We have successfully provided houses to many slum dwellers. We will scale it up by making new policies to construct houses on slum land so low-income families can be rehabilitated into high-quality houses. Clean Cooking Fuel,Moderate Confidence: Highly Likely,0.6055,"Will roll out a massive Low cost Housing programme to ensure that by the time the nation 32 completes 75 years of its Independence, every family will have a pucca house of its own. Our proposed programme will further ensure that these houses are equipped with the basic facilities of toilet, piped water supply, electricity and proper Access. Prioritize all our resources towards this goal.",2014,0.17475728155339804,0.0,0.0970873786407767,0.7744089,0.74875677,0.7613668
Under PM Ujjwala Yojana more than 10 crore beneficiaries have been provided LPG connections. We will continue this and expand the programme. Zero Electricity Bill MODI KI,Low Confidence: Partial,0.5494,Ensure LPG gas cylinder connection to all poor rural households,2019,0.10810810810810811,0.0,0.10810810810810811,0.6985899,0.79146564,0.74213326
We will provide free electricity to poor households under PM Surya Ghar Muft Bijli Yojana. GUARANTEE FOR GARIB PARIVAR JAN We are committed to supporting every garib parivar in coming out of poverty and leading a dignified life. We have undertaken various measures for Garib Kalyan in the,Low Confidence: Unlikely,0.5384,Ensure 100% electrification of all households,2019,0.07407407407407407,0.0,0.037037037037037035,0.6630124,0.79291165,0.72216713
"last ten years with good results. We will continue to focus on empowering our garib parivar jan to improve their quality of life, increase income, and live with dignity. Free Ration for the Next 5 Years",Indeterminate,0.4651,We will endeavour to make the National Nutrition Mission a mass movement and strengthen infrastructure and capacity in all Anganwadis,2019,0.17857142857142858,0.037037037037037035,0.14285714285714285,0.7547463,0.78620416,0.7701541
We have provided free ration to 80+ crore citizens since 2020. We will continue to provide free ration for the next five years under PM Garib Kalyan Anna Yojana. Expanding Our Efforts to Protect Garib ki Thali We have worked on protecting garib ki thali by establishing a price stabilisation fund for vegetables and,Indeterminate,0.4913,Pradhan Mantri Kisan Samman Nidhi Yojana to ensure financial support to farmers owning land up to 2 hectares.,2019,0.1111111111111111,0.0,0.08333333333333333,0.72631973,0.7839923,0.7540548
"pulses. We will expand our efforts to protect the garib ki thali by becoming Atmanirbhar in the production of pulses, edible oils and vegetables. Continue Providing Free and Quality Health Care We have provided quality free health treatment of up to ₹5 lakh to poor families under Ayushman",Low Confidence: Partial,0.5323,We will increase the coverage of Ayushman Bharat to include all Anganwadi workers and workers to ensure improved health and social support system for these frontline workers,2019,0.26666666666666666,0.0273972602739726,0.16,0.781013,0.8198404,0.7999558
Bharat. We will continue to provide free health treatment by strengthening Ayushman Bharat and other such initiatives.,Moderate Confidence: Highly Likely,0.6836,Establish 1.5 lakh health and wellness centres under Ayushman Bharat.,2019,0.2857142857142857,0.07692307692307693,0.21428571428571427,0.8151791,0.8294353,0.8222454
11 11,Indeterminate,0.4484,Poshan Abhiyaan.,2019,0.0,0.0,0.0,0.56297415,0.5377966,0.5500975
far-reaching benefits of this programme. We will now further expand the PM Awas Yojana to ensure every garib parivar has access to quality housing. Har Ghar Nal se Jal,Low Confidence: Partial,0.5819,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019,0.2857142857142857,0.1276595744680851,0.24489795918367346,0.7846068,0.80873847,0.7964899
"We will ensure clean drinking water, Har Ghar Nal se Jal for all households in villages, towns and cities. We will extensively use technology to reduce the wastage of water. Slum Redevelopment",High Confidence: Partial,0.7029,We will ensure sustainability of water supply through special focus on conservation of rural water bodies and ground water recharge,2019,0.2692307692307692,0.12000000000000001,0.23076923076923075,0.77504015,0.8252291,0.7993475
We have successfully provided houses to many slum dwellers. We will scale it up by making new policies to construct houses on slum land so low-income families can be rehabilitated into high-quality houses. Clean Cooking Fuel,Moderate Confidence: Highly Likely,0.6055,"Will roll out a massive Low cost Housing programme to ensure that by the time the nation 32 completes 75 years of its Independence, every family will have a pucca house of its own. Our proposed programme will further ensure that these houses are equipped with the basic facilities of toilet, piped water supply, electricity and proper Access. Prioritize all our resources towards this goal.",2014,0.17475728155339804,0.0,0.0970873786407767,0.7744089,0.74875677,0.7613668
Under PM Ujjwala Yojana more than 10 crore beneficiaries have been provided LPG connections. We will continue this and expand the programme. Zero Electricity Bill,Low Confidence: Partial,0.5493,Ensure LPG gas cylinder connection to all poor rural households,2019,0.11428571428571428,0.0,0.11428571428571428,0.70156014,0.791582,0.7438574
We will provide free electricity to poor households under PM Surya Ghar Muft Bijli Yojana. Free Ration for the Next 5 Years,Moderate Confidence: Unlikely,0.6295,Ensure 100% electrification of all households,2019,0.07142857142857144,0.0,0.07142857142857144,0.69091386,0.7910851,0.73761415
We have provided free ration to 80+ crore citizens since 2020. We will continue to provide free ration for the next five years under PM Garib Kalyan Anna Yojana. Expanding Our Efforts to Protect Garib ki Thali We have worked on protecting garib ki thali by establishing a price stabilisation fund for vegetables and,Indeterminate,0.4913,Pradhan Mantri Kisan Samman Nidhi Yojana to ensure financial support to farmers owning land up to 2 hectares.,2019,0.1111111111111111,0.0,0.08333333333333333,0.72631973,0.7839923,0.7540548
"pulses. We will expand our efforts to protect the garib ki thali by becoming Atmanirbhar in the production of pulses, edible oils and vegetables. Continue Providing Free and Quality Health Care We have provided quality free health treatment of up to ₹5 lakh to poor families under Ayushman",Low Confidence: Partial,0.5323,We will increase the coverage of Ayushman Bharat to include all Anganwadi workers and workers to ensure improved health and social support system for these frontline workers,2019,0.26666666666666666,0.0273972602739726,0.16,0.781013,0.8198404,0.7999558
Bharat. We will continue to provide free health treatment by strengthening Ayushman Bharat and other such initiatives. 1122,Moderate Confidence: Highly Likely,0.6916,Establish 1.5 lakh health and wellness centres under Ayushman Bharat.,2019,0.27586206896551724,0.07407407407407408,0.20689655172413793,0.7965,0.82899433,0.8124224
"We will expand Bharat's top-tier startup ecosystem to tier-2 and tier-3 cities. Further, we will transform Bharat into a global centre for high quality services including tourism to generate high value and diverse employment opportunities nationwide. Ensuring Quality Health Care for the Middle Class We have provided high quality healthcare services to the middle class families by expanding the AIIMS and Ayushman Arogya Mandir network. We have provided subsidised medicines through Jan Aushadhi",Moderate Confidence: Highly Likely,0.6215,Establish 1.5 lakh health and wellness centres under Ayushman Bharat.,2019,0.11363636363636363,0.0,0.06818181818181818,0.7207025,0.81268775,0.7639361
Kendras and also established 315 new medical colleges across the country. We will continue to expand these services for our middle class families to ensure accessible high quality healthcare services. Promoting Quality Higher Education,Low Confidence: Partial,0.5648,75 Medical Institutes will be set up by 2022. This would ensure availability and accessibility of quality secondary and tertiary medical care to the citizens across the diverse landscape of our country (+),2019,0.33333333333333337,0.03125,0.15151515151515152,0.8288506,0.8131841,0.8209426
We will elevate the quality of education by expanding top educational institutions and upgrading,Moderate Confidence: Partial,0.6767,We will encourage academic institutions towards excellence and motivate more such institutions to rank among the top institutions of the world,2019,0.4,0.060606060606060615,0.2857142857142857,0.848991,0.8283014,0.8385186
"universities to global standards. We will introduce more IITs, IIMs, AIIMS and other such institutes. We will launch internship programmes to blend academic and practical skills. Improving Infrastructure for Ease of Living MODI KI",Moderate Confidence: Partial,0.602,We will encourage academic institutions towards excellence and motivate more such institutions to rank among the top institutions of the world,2019,0.32727272727272727,0.07547169811320756,0.2545454545454545,0.7671608,0.7981222,0.7823352
"We will focus on the modern road network, enhance rail and metro connectivity with new-age trains and expanded networks, develop comprehensive EV charging stations, construct new airports and advance GUARANTEE FOR our telecom infrastructure with affordable 5G and innovative 6G technology, promoting ease of living for middle class families. MIDDLE-CLASS Developing Sustainable Cities PARIVAR JAN",Moderate Confidence: Unlikely,0.6626,Modernize and equip all stations with requisite infrastructure and public utilities.,2014,0.1764705882352941,0.0,0.14705882352941174,0.7338636,0.7976904,0.76444703
"We will develop more green spaces like parks, playgrounds etc., revive water bodies like lakes and ponds and develop other natural spaces to make cities more adaptable, sustainable and people-friendly. Our middle-class parivar jan are the backbone of our economy. Through their hard work, they are contributing a lot to Bharat’s economic growth. We are committed to support the aspirations of middle-class parivar jan, providing them opportunities to fulfil their dreams and creating conditions for a better quality of life. Empowering the Neo-Middle Class The last 10 years have seen a large number of families join the ranks of the neo-middle class due to a steady increase in the incomes of all citizens. It is our responsibility to help them grow further while giving them enough support to stabilise their standard of living. This includes support for affordable quality housing and healthcare, access to quality education and ample employment opportunities. Fulfilling the Dream of Owning a Home",Low Confidence: Highly Likely,0.5682,"A full-fledged programme for 'Rural Rejuvenation' will be made and implemented which will comprise of integrated strategies for personal, economic and social well-being of the villagers. Through the idea of Rurban, we will bring urban amenities to our rural areas, while retaining the soul of the village. Major thrust area for rural development would be to improve village level infrastructure in terms of roads, potable water, education, health, supply chain, electricity, broadband, job creation, security in rural areas and linkage to markets.",2014,0.22672064777327933,0.016326530612244896,0.13765182186234817,0.7528476,0.7759644,0.76423126
We will strengthen the RERA act which has helped make the real estate sector in Bharat more,Low Confidence: Highly Likely,0.5116,"A full-fledged programme for 'Rural Rejuvenation' will be made and implemented which will comprise of integrated strategies for personal, economic and social well-being of the villagers. Through the idea of Rurban, we will bring urban amenities to our rural areas, while retaining the soul of the village. Major thrust area for rural development would be to improve village level infrastructure in terms of roads, potable water, education, health, supply chain, electricity, broadband, job creation, security in rural areas and linkage to markets.",2014,0.1188118811881188,0.020202020202020204,0.099009900990099,0.77345204,0.7063928,0.7384031
"transparent and citizen friendly than ever before. We will work with the state governments to facilitate home ownership for middle-class parivar jan through comprehensive measures including cost reduction in construction and registration, regulatory reforms like enabling automatic approvals for standard housing designs, among others.",Low Confidence: Partial,0.54,"The objective will be to bring in transparency in Government's decision making process. --- Government systems and processes would be relooked to make them citizen friendly, corruption free and accountable. ---",2014,0.26666666666666666,0.0273972602739726,0.13333333333333333,0.7518538,0.7639379,0.7578477
13 13,Indeterminate,0.4044,Poshan Abhiyaan.,2019,0.0,0.0,0.0,0.57037383,0.5269039,0.54777783
"We will expand Bharat's top-tier startup ecosystem to tier-2 and tier-3 cities. Further, we will transform",Low Confidence: Highly Likely,0.5321,BJP will initiate nation-wide 'district level incubation and accelerator programme' for encouraging innovation and entrepreneurship.,2014,0.11111111111111112,0.0,0.11111111111111112,0.76808923,0.7789424,0.7734778
Our women sports persons have brought honours to our country. We will encourage greater Bharat into a global centre for high quality services including tourism to generate high value and diverse participation of women in sports by launching women sportsperson-focused programmes and facilities. employment opportunities nationwide. Constructing and Maintaining Public Toilets for Women Ensuring Quality Health Care for the Middle Class We have provided dignified lives to women by constructing public and individual toilets under Swachh We have provided high quality healthcare services to the middle class families by expanding the AIIMS Bharat Mission. We are further committed to upholding the dignity of women by continuing to construct and Ayushman Arogya Mandir network. We have provided subsidised medicines through Jan Aushadhi and maintain public toilets.,Moderate Confidence: Partial,0.6942,"We will provide adequate resources under the Khelo India scheme to ensure the achievement of declared objectives. Under this scheme, special attention will be given to encourage sporting talent among women.",2019,0.16560509554140124,0.012903225806451613,0.11464968152866241,0.7533158,0.81912315,0.78484243
Kendras and also established 315 new medical colleges across the country. We will continue to expand these services for our middle class families to ensure accessible high quality healthcare services. Ensuring Women’s Health and Well-Being,Low Confidence: Partial,0.5709,75 Medical Institutes will be set up by 2022. This would ensure availability and accessibility of quality secondary and tertiary medical care to the citizens across the diverse landscape of our country (+),2019,0.37681159420289856,0.029850746268656712,0.17391304347826086,0.8042737,0.81329775,0.8087606
"Promoting Quality Higher Education We will expand the existing health services focussed on the prevention and reduction of Anaemia, Breast",Low Confidence: Partial,0.5808,"We will also accelerate the reforms in para-medical education sector so as to increase the availability of nurses, pharmacists and other paramedical personnel.",2019,0.31818181818181823,0.04761904761904762,0.22727272727272727,0.7886223,0.7874991,0.7880603
"Cancer, Cervical Cancer and Osteoporosis, ensuring a healthy life for women. We will launch a focussed",Indeterminate,0.4643,"Give high priority to chronic diseases, and will invest in research and development of solutions for chronic diseases like obesity, diabetes, cancer, CVD etc.",2014,0.2,0.0,0.1,0.7678996,0.7645246,0.76620835
We will elevate the quality of education by expanding top educational institutions and upgrading initiative to eliminate cervical cancer.,Low Confidence: Partial,0.5923,"We will also accelerate the reforms in para-medical education sector so as to increase the availability of nurses, pharmacists and other paramedical personnel.",2019,0.32558139534883723,0.04878048780487805,0.23255813953488372,0.83593965,0.77395403,0.8037535
"universities to global standards. We will introduce more IITs, IIMs, AIIMS and other such institutes. We will launch internship programmes to blend academic and practical skills. Implementing the Nari Shakti Vandan Adhiniyam",Low Confidence: Partial,0.5939,We will encourage academic institutions towards excellence and motivate more such institutions to rank among the top institutions of the world,2019,0.3396226415094339,0.0784313725490196,0.2641509433962264,0.7552823,0.8030775,0.7784469
Improving Infrastructure for Ease of Living MODI KI We have enacted the long-awaited Nari Shakti Vandan Adhiniyam. We will systematically implement this to ensure representation for women in the Parliament and State Legislatures.,Low Confidence: Partial,0.5698,"We will transform the quality of life of women in Rural India by providing electricity, tapped water, cleaner fuel and toilets in every home.",2014,0.2413793103448276,0.07142857142857144,0.1724137931034483,0.7612304,0.79157543,0.7761064
"We will focus on the modern road network, enhance rail and metro connectivity with new-age trains and expanded networks, develop comprehensive EV charging stations, construct new airports and advance GUARANTEE FOR Expanding Shakti Desks our telecom infrastructure with affordable 5G and innovative 6G technology, promoting ease of living for",Moderate Confidence: Unlikely,0.6267,Modernize and equip all stations with requisite infrastructure and public utilities.,2014,0.19672131147540983,0.0,0.16393442622950818,0.7470939,0.7977744,0.7716028
We have established Shakti Desks (Women Help Desks) in police stations. We will further ensure their middle class families. NARI SHAKTI expansion for timely investigation and resolution of issues. Developing Sustainable Cities Strengthening Emergency Helpline 112,Low Confidence: Partial,0.5231,"Make police stations women friendly, and increase the number of women in police at different levels.",2014,0.23076923076923078,0.08,0.15384615384615383,0.7213645,0.78860086,0.7534856
"We will develop more green spaces like parks, playgrounds etc., revive water bodies like lakes and ponds",Low Confidence: Partial,0.5518,We will ensure sustainability of water supply through special focus on conservation of rural water bodies and ground water recharge,2019,0.27027027027027023,0.11428571428571428,0.27027027027027023,0.7951129,0.81086075,0.8029096
"We will strengthen the Emergency Response Support System and enhance the capabilities of and develop other natural spaces to make cities more adaptable, sustainable and people-friendly. Emergency Helpline 112 Our vision is to create a Viksit Bharat where Nari Shakti is an equal partner and stakeholder in society’s progress. Through a series of legal and policy frameworks, we will ensure the dignity of women and provide them with equal growth opportunities. Three Crore Lakhpati Didis",Low Confidence: Highly Likely,0.597,"A full-fledged programme for 'Rural Rejuvenation' will be made and implemented which will comprise of integrated strategies for personal, economic and social well-being of the villagers. Through the idea of Rurban, we will bring urban amenities to our rural areas, while retaining the soul of the village. Major thrust area for rural development would be to improve village level infrastructure in terms of roads, potable water, education, health, supply chain, electricity, broadband, job creation, security in rural areas and linkage to markets.",2014,0.2360248447204969,0.012578616352201259,0.13664596273291924,0.7749218,0.7644024,0.7696261
We have empowered one crore rural women to become Lakhpati Didis. We will now empower three crore Empowering the Neo-Middle Class rural women to become Lakhpati Didis. The last 10 years have seen a large number of families join the ranks of the neo-middle class due to a Integrating Women SHGs in the Service Sector steady increase in the incomes of all citizens. It is our responsibility to help them grow further while,Low Confidence: Partial,0.5241,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019,0.19469026548672566,0.01801801801801802,0.12389380530973451,0.7379581,0.7751858,0.756114
"giving them enough support to stabilise their standard of living. This includes support for affordable We will empower women Self-Help Groups (SHGs) with the skills and tools in key service sectors like IT, quality housing and healthcare, access to quality education and ample employment opportunities. healthcare, education, retail and tourism with an aim to increase their income. Fulfilling the Dream of Owning a Home Enhancing Market Access for Women SHG Enterprises",Moderate Confidence: Partial,0.6323,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019,0.34545454545454546,0.07407407407407407,0.18181818181818182,0.7949488,0.8249869,0.80968934
We will strengthen the RERA act which has helped make the real estate sector in Bharat more We will integrate women Self-Help Groups (SHGs) with ongoing initiatives such as One District One,Low Confidence: Partial,0.547,We are committed to make women equal partners in and equal beneficiaries of the progress and prosperity of the nation and will formulate a comprehensive ‘Women in Workforce’ roadmap focussed on dramatically increasing the female workforce participation rate over the next five years. We will also encourage industries and corporates to generate better employment opportunities for women.,2019,0.19999999999999998,0.022727272727272728,0.15555555555555556,0.75358206,0.76718044,0.7603205
"transparent and citizen friendly than ever before. We will work with the state governments to facilitate Product (ODOP), Farmer Producer Organizations (FPOs), Ekta Mall, ONDC, GEM, One Station One Product, home ownership for middle-class parivar jan through comprehensive measures including cost reduction enhancing better market access for their products. in construction and registration, regulatory reforms like enabling automatic approvals for standard Facilitating Participation of Women in the Workforce housing designs, among others.",Low Confidence: Partial,0.581,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019,0.23423423423423423,0.01834862385321101,0.14414414414414414,0.7620536,0.8157689,0.78799695
"We will ensure development of infrastructure such as working women’s hostels, creches etc. with the specific focus on locations near industrial and commercial centres to facilitate increased participation of women in the workforce.",High Confidence: Partial,0.7123,Expand and improve upon the network of women / working women hostels.,2014,0.3111111111111111,0.0930232558139535,0.17777777777777776,0.7880415,0.84279084,0.8144971
14 14,Indeterminate,0.4046,Namami Gange,2019,0.0,0.0,0.0,0.5764322,0.5607788,0.5684978
"We will expand Bharat's top-tier startup ecosystem to tier-2 and tier-3 cities. Further, we will transform",Low Confidence: Highly Likely,0.5321,BJP will initiate nation-wide 'district level incubation and accelerator programme' for encouraging innovation and entrepreneurship.,2014,0.11111111111111112,0.0,0.11111111111111112,0.76808923,0.7789424,0.7734778
Our women sports persons have brought honours to our country. We will encourage greater Bharat into a global centre for high quality services including tourism to generate high value and diverse participation of women in sports by launching women sportsperson-focused programmes and facilities. employment opportunities nationwide. Constructing and Maintaining Public Toilets for Women Ensuring Quality Health Care for the Middle Class We have provided dignified lives to women by constructing public and individual toilets under Swachh We have provided high quality healthcare services to the middle class families by expanding the AIIMS Bharat Mission. We are further committed to upholding the dignity of women by continuing to construct and Ayushman Arogya Mandir network. We have provided subsidised medicines through Jan Aushadhi and maintain public toilets.,Moderate Confidence: Partial,0.6942,"We will provide adequate resources under the Khelo India scheme to ensure the achievement of declared objectives. Under this scheme, special attention will be given to encourage sporting talent among women.",2019,0.16560509554140124,0.012903225806451613,0.11464968152866241,0.7533158,0.81912315,0.78484243
Kendras and also established 315 new medical colleges across the country. We will continue to expand these services for our middle class families to ensure accessible high quality healthcare services. Ensuring Women’s Health and Well-Being,Low Confidence: Partial,0.5709,75 Medical Institutes will be set up by 2022. This would ensure availability and accessibility of quality secondary and tertiary medical care to the citizens across the diverse landscape of our country (+),2019,0.37681159420289856,0.029850746268656712,0.17391304347826086,0.8042737,0.81329775,0.8087606
"Promoting Quality Higher Education We will expand the existing health services focussed on the prevention and reduction of Anaemia, Breast",Low Confidence: Partial,0.5808,"We will also accelerate the reforms in para-medical education sector so as to increase the availability of nurses, pharmacists and other paramedical personnel.",2019,0.31818181818181823,0.04761904761904762,0.22727272727272727,0.7886223,0.7874991,0.7880603
"Cancer, Cervical Cancer and Osteoporosis, ensuring a healthy life for women. We will launch a focussed",Indeterminate,0.4643,"Give high priority to chronic diseases, and will invest in research and development of solutions for chronic diseases like obesity, diabetes, cancer, CVD etc.",2014,0.2,0.0,0.1,0.7678996,0.7645246,0.76620835
We will elevate the quality of education by expanding top educational institutions and upgrading initiative to eliminate cervical cancer.,Low Confidence: Partial,0.5923,"We will also accelerate the reforms in para-medical education sector so as to increase the availability of nurses, pharmacists and other paramedical personnel.",2019,0.32558139534883723,0.04878048780487805,0.23255813953488372,0.83593965,0.77395403,0.8037535
"universities to global standards. We will introduce more IITs, IIMs, AIIMS and other such institutes. We will launch internship programmes to blend academic and practical skills. Implementing the Nari Shakti Vandan Adhiniyam",Low Confidence: Partial,0.5939,We will encourage academic institutions towards excellence and motivate more such institutions to rank among the top institutions of the world,2019,0.3396226415094339,0.0784313725490196,0.2641509433962264,0.7552823,0.8030775,0.7784469
Improving Infrastructure for Ease of Living MODI KI We have enacted the long-awaited Nari Shakti Vandan Adhiniyam. We will systematically implement this to ensure representation for women in the Parliament and State Legislatures.,Low Confidence: Partial,0.5698,"We will transform the quality of life of women in Rural India by providing electricity, tapped water, cleaner fuel and toilets in every home.",2014,0.2413793103448276,0.07142857142857144,0.1724137931034483,0.7612304,0.79157543,0.7761064
"We will focus on the modern road network, enhance rail and metro connectivity with new-age trains and expanded networks, develop comprehensive EV charging stations, construct new airports and advance GUARANTEE FOR Expanding Shakti Desks our telecom infrastructure with affordable 5G and innovative 6G technology, promoting ease of living for",Moderate Confidence: Unlikely,0.6267,Modernize and equip all stations with requisite infrastructure and public utilities.,2014,0.19672131147540983,0.0,0.16393442622950818,0.7470939,0.7977744,0.7716028
We have established Shakti Desks (Women Help Desks) in police stations. We will further ensure their middle class families. NARI SHAKTI expansion for timely investigation and resolution of issues. Developing Sustainable Cities Strengthening Emergency Helpline 112,Low Confidence: Partial,0.5231,"Make police stations women friendly, and increase the number of women in police at different levels.",2014,0.23076923076923078,0.08,0.15384615384615383,0.7213645,0.78860086,0.7534856
"We will develop more green spaces like parks, playgrounds etc., revive water bodies like lakes and ponds",Low Confidence: Partial,0.5518,We will ensure sustainability of water supply through special focus on conservation of rural water bodies and ground water recharge,2019,0.27027027027027023,0.11428571428571428,0.27027027027027023,0.7951129,0.81086075,0.8029096
"We will strengthen the Emergency Response Support System and enhance the capabilities of and develop other natural spaces to make cities more adaptable, sustainable and people-friendly. Emergency Helpline 112 Our vision is to create a Viksit Bharat where Nari Shakti is an equal partner and stakeholder in society’s progress. Through a series of legal and policy frameworks, we will ensure the dignity of women and provide them with equal growth opportunities. Three Crore Lakhpati Didis",Low Confidence: Highly Likely,0.597,"A full-fledged programme for 'Rural Rejuvenation' will be made and implemented which will comprise of integrated strategies for personal, economic and social well-being of the villagers. Through the idea of Rurban, we will bring urban amenities to our rural areas, while retaining the soul of the village. Major thrust area for rural development would be to improve village level infrastructure in terms of roads, potable water, education, health, supply chain, electricity, broadband, job creation, security in rural areas and linkage to markets.",2014,0.2360248447204969,0.012578616352201259,0.13664596273291924,0.7749218,0.7644024,0.7696261
We have empowered one crore rural women to become Lakhpati Didis. We will now empower three crore Empowering the Neo-Middle Class rural women to become Lakhpati Didis. The last 10 years have seen a large number of families join the ranks of the neo-middle class due to a Integrating Women SHGs in the Service Sector steady increase in the incomes of all citizens. It is our responsibility to help them grow further while,Low Confidence: Partial,0.5241,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019,0.19469026548672566,0.01801801801801802,0.12389380530973451,0.7379581,0.7751858,0.756114
