"original_text","review_text","label","score"
"foreign banks and offshore accounts. We will set up a Task Force for this purpose and to recommend amendments to existing laws or enact new laws. The process of bringing back black money to India","We will set up a Task Force for this purpose and to recommend amendments to existing laws or enact new laws.","0","100"
"what belongs to India, will be put in motion on priority. We will also proactively engage with foreign Governments to facilitate information sharing on black money. Decision and Policy Paralysis The country has suffered a decade of maladministration and scams in addition to decision and policy paralysis; thus bringing growth and development to a grinding halt leading to a 'Governance deficit'. This situation will be changed and the engine of Government will be ignited again with strong willpower","The engine of Government will be ignited again with strong willpower and commitment to public interest.","0","85"
"and commitment to public interest. We will also encourage the bureaucracy to take right decisions and contribute their might in building a modern India. Poor Delivery Wherever we go, we encounter bottlenecks. We experience it on a daily basis - in government offices for even the simplest of public services, in our courts buried in high pendency and so on. Similarly, we are known by a culture of missing links and lack of last mile connectivity. We have water but no pipeline to carry it; we have schools but no teachers; we have computers and machines but no electricity; we have scientists but no labs; we have instruments but no one to work on them. This 5","Encourage the bureaucracy to take right decisions and contribute their might in building a modern India.","0","100"
"and commitment to public interest. We will also encourage the bureaucracy to take right decisions and contribute their might in building a modern India. Poor Delivery Wherever we go, we encounter bottlenecks. We experience it on a daily basis - in government offices for even the simplest of public services, in our courts buried in high pendency and so on. Similarly, we are known by a culture of missing links and lack of last mile connectivity. We have water but no pipeline to carry it; we have schools but no teachers; we have computers and machines but no electricity; we have scientists but no labs; we have instruments but no one to work on them. This 5","Remove bottlenecks and missing links in all sectors, activities and services.","0","73"
"as to be in harmony with our worldview of the large human family. We will ensure that science and technology truly uplifts the Indian people and indeed all humanity. Flora, Fauna and Environment - Safeguarding Our Tomorrow The present generation has to make this world a better place to live. A better place not only for us, but for our future generations as well. We have to nurture the environment, institutions, people, resources and amenities. We have to combine the past, the present and the future. We have to have a holistic view of human life for sustainable development. We have to develop the assets and amenities for ourselves in a manner that leaves an equally good or","Build institutions for today and tomorrow.","2","83"
"We will bring back credibility and trust in government, re-sowing confidence in the India story domestically as well as internationally. Through consistent, long-term policies, we will not just spur the process of economic growth, but also ensure that it is stable as well as balanced.","The BJP will work for restoring the trust and credibility of the Government.","2","79"
"Government. We will also ensure that the chain of responsibility and accountability is built in the system. 6","We will also ensure that the chain of responsibility and accountability is built in the system.","0","100"
"We will: (cid:1) put emphasis on imparting soft skills to enhance employability including a national program on foreign languages. (cid:1) launch a national programme for digital empowerment through computer literacy of the people, especially the youth. (cid:1) we will assess the talent and capacity of our youth from an early age; so they can be groomed accordingly. (cid:1) we will push for greater practical and research training encouraging real world experience through internships and apprenticeships. Health Services - Increase the Access, Improve the Quality, Lower the Cost India needs a holistic care system that is universally accessible, affordable and effective and drastically reduces the out of pocket spending on health. NRHM has failed to meet the objectives and will be radically reformed. BJP accords high priority to health sector, which is crucial for securing the economy. The overarching goal of healthcare would be to provide, 'Health Assurance to all Indians and to reduce the out of pocket spending on health care', with the help of state governments. The current situation calls for radical reforms in the healthcare system with regards to national healthcare programs and delivery, medical education and training and financing of healthcare. Our government would focus on the following reforms in healthcare: (cid:1) the last healthcare policy dates back to 2002. India now needs a comprehensive healthcare policy to address the complex healthcare challenges, keeping in view the developments in the healthcare sector and the changing demographics. BJP will initiate the New Health Policy. (cid:1) initiate the 'National Health Assurance Mission', with a clear mandate to provide universal healthcare that is not only accessible and affordable, but also effective, and reduces the OOP spending for the common man. (cid:1) Education and Training - Will review the role of various professional regulatory bodies in healthcare and consider setting up an overarching lean body for healthcare. High priority will be given to address the shortfall of healthcare professionals. (cid:1) Modernize Government hospitals, upgrading infrastructure and latest technologies. (cid:1) Reorganize Ministry of Health and Family Welfare in order to converge various departments dealing in healthcare, food and nutrition and pharmaceuticals, for effective delivery of healthcare services. (cid:1) Increase the number of medical and para-medical colleges to make India self sufficient in human resources, and set up an AIIMS like institute in every state. (cid:1) Yoga and Ayurveda are the gifts of ancient Indian civilization to humanity and we will increase the","The genuine grievances of every state will be addressed in a comprehensive manner.","0","71"
"(cid:1) We will place Centre-State relations on an even keel through the process of consultation and strive for harmonious Centre-State relations.","We will place Centre-State relations on an even keel through the process of consultation and strive for harmonious Centre-State relations.","0","100"
"(cid:1) Our Government will be an enabler and facilitator in the rapid progress of states. We will evolve a model of national development, which is driven by the states. (cid:1) Team India shall not be limited to the Prime Minister led team sitting in Delhi, but will also include Chief Ministers and other functionaries as equal partners. (cid:1) Ensure fiscal autonomy of States while urging financial discipline. (cid:1) Create 'Regional Councils of States', with common problems and concerns, with a view to seeking solutions that are applicable across a group of states.","Our Government will be an enabler and facilitator in the rapid progress of states. We will evolve a model of national development, which is driven by the states.","2","100"
"(cid:1) Our Government will be an enabler and facilitator in the rapid progress of states. We will evolve a model of national development, which is driven by the states. (cid:1) Team India shall not be limited to the Prime Minister led team sitting in Delhi, but will also include Chief Ministers and other functionaries as equal partners. (cid:1) Ensure fiscal autonomy of States while urging financial discipline. (cid:1) Create 'Regional Councils of States', with common problems and concerns, with a view to seeking solutions that are applicable across a group of states.","Team India shall not be limited to the Prime Minister led team sitting in Delhi, but will also include Chief Ministers and other functionaries as equal partners.","0","100"
"(cid:1) Our Government will be an enabler and facilitator in the rapid progress of states. We will evolve a model of national development, which is driven by the states. (cid:1) Team India shall not be limited to the Prime Minister led team sitting in Delhi, but will also include Chief Ministers and other functionaries as equal partners. (cid:1) Ensure fiscal autonomy of States while urging financial discipline. (cid:1) Create 'Regional Councils of States', with common problems and concerns, with a view to seeking solutions that are applicable across a group of states.","Ensure fiscal autonomy of States while urging financial discipline.","1","100"
"(cid:1) Our Government will be an enabler and facilitator in the rapid progress of states. We will evolve a model of national development, which is driven by the states. (cid:1) Team India shall not be limited to the Prime Minister led team sitting in Delhi, but will also include Chief Ministers and other functionaries as equal partners. (cid:1) Ensure fiscal autonomy of States while urging financial discipline. (cid:1) Create 'Regional Councils of States', with common problems and concerns, with a view to seeking solutions that are applicable across a group of states.","Create 'Regional Councils of States', with common problems and concerns, with a view to seeking solutions that are applicable across a group of states.","0","100"
"(cid:1) We will encourage cooperation among states on security-related issues, inter-state disputes and for removing inter-regional economic disparities and promoting tourism. (cid:1) We recognize the special needs and unique problems of the hill and desert states. In consultation with the Governments of these states, state-specific developmental priorities/ models will be evolved so that the aspirations of the people are met.","We will encourage cooperation among states on security- related issues, inter-state disputes and for removing inter- regional economic disparities and promoting tourism.","2","100"
"(cid:1) We will encourage cooperation among states on security-related issues, inter-state disputes and for removing inter-regional economic disparities and promoting tourism. (cid:1) We recognize the special needs and unique problems of the hill and desert states. In consultation with the Governments of these states, state-specific developmental priorities/ models will be evolved so that the aspirations of the people are met.","We recognize the special needs and unique problems of the hill and desert states. In consultation with the Governments of these states, state-specific developmental priorities/ models will be evolved so that the aspirations of the people are met.","2","100"
"(cid:1) Given the unique status of Union Territories (UTs), they will receive special attention. We will focus on developing and strengthening the economy of UTs. Tourism will be promoted, tribal welfare and their rights will receive full attention, and infrastructure and coastal area development will be given top priority. (cid:1) We reiterate our commitment to the protection and integrated development of our island territories. (cid:1) The moribund forums like 'National Development Council' and 'Inter-State Council' will be revived and made into active bodies. (cid:1) Involve the state Governments in the promotion of foreign trade and commerce. (cid:1) Help the states mobilize resources through investments in industry, agriculture and infrastructure. Integrating the Nation - Its Vastness and Voices In a democracy, everyone is not only free, but also encouraged to voice his or her concerns. It is also necessary that these voices be heard and concerns redressed. However, all this should happen within the framework of our constitution and with the spirit of 'India First'. We have to keep the Nation at the forefront of our thoughts and actions. Any activity, which disrupts the integrity of the nation, cannot be in the interest of any segment of the society or any region of the country. All Indians living in different regions of the country have an equal stake in the progress of the country and they have to be assured of the fruits of the progress. (cid:1) Presently, we see that there is a vast regional disparity between different regions of the country 7","Given the unique status of Union Territories (UTs), they will receive special attention. We will focus on developing and strengthening the economy of UTs. Tourism will be promoted, tribal welfare and their rights will receive full attention, and infrastructure and coastal area development will be given top priority.","2","100"
"(cid:1) Given the unique status of Union Territories (UTs), they will receive special attention. We will focus on developing and strengthening the economy of UTs. Tourism will be promoted, tribal welfare and their rights will receive full attention, and infrastructure and coastal area development will be given top priority. (cid:1) We reiterate our commitment to the protection and integrated development of our island territories. (cid:1) The moribund forums like 'National Development Council' and 'Inter-State Council' will be revived and made into active bodies. (cid:1) Involve the state Governments in the promotion of foreign trade and commerce. (cid:1) Help the states mobilize resources through investments in industry, agriculture and infrastructure. Integrating the Nation - Its Vastness and Voices In a democracy, everyone is not only free, but also encouraged to voice his or her concerns. It is also necessary that these voices be heard and concerns redressed. However, all this should happen within the framework of our constitution and with the spirit of 'India First'. We have to keep the Nation at the forefront of our thoughts and actions. Any activity, which disrupts the integrity of the nation, cannot be in the interest of any segment of the society or any region of the country. All Indians living in different regions of the country have an equal stake in the progress of the country and they have to be assured of the fruits of the progress. (cid:1) Presently, we see that there is a vast regional disparity between different regions of the country 7","We reiterate our commitment to the protection and integrated development of our island territories.","2","100"
"(cid:1) Given the unique status of Union Territories (UTs), they will receive special attention. We will focus on developing and strengthening the economy of UTs. Tourism will be promoted, tribal welfare and their rights will receive full attention, and infrastructure and coastal area development will be given top priority. (cid:1) We reiterate our commitment to the protection and integrated development of our island territories. (cid:1) The moribund forums like 'National Development Council' and 'Inter-State Council' will be revived and made into active bodies. (cid:1) Involve the state Governments in the promotion of foreign trade and commerce. (cid:1) Help the states mobilize resources through investments in industry, agriculture and infrastructure. Integrating the Nation - Its Vastness and Voices In a democracy, everyone is not only free, but also encouraged to voice his or her concerns. It is also necessary that these voices be heard and concerns redressed. However, all this should happen within the framework of our constitution and with the spirit of 'India First'. We have to keep the Nation at the forefront of our thoughts and actions. Any activity, which disrupts the integrity of the nation, cannot be in the interest of any segment of the society or any region of the country. All Indians living in different regions of the country have an equal stake in the progress of the country and they have to be assured of the fruits of the progress. (cid:1) Presently, we see that there is a vast regional disparity between different regions of the country 7","The moribund forums like 'National Development Council' and 'Inter-State Council' will be revived and made into active bodies.","0","100"
"(cid:1) Given the unique status of Union Territories (UTs), they will receive special attention. We will focus on developing and strengthening the economy of UTs. Tourism will be promoted, tribal welfare and their rights will receive full attention, and infrastructure and coastal area development will be given top priority. (cid:1) We reiterate our commitment to the protection and integrated development of our island territories. (cid:1) The moribund forums like 'National Development Council' and 'Inter-State Council' will be revived and made into active bodies. (cid:1) Involve the state Governments in the promotion of foreign trade and commerce. (cid:1) Help the states mobilize resources through investments in industry, agriculture and infrastructure. Integrating the Nation - Its Vastness and Voices In a democracy, everyone is not only free, but also encouraged to voice his or her concerns. It is also necessary that these voices be heard and concerns redressed. However, all this should happen within the framework of our constitution and with the spirit of 'India First'. We have to keep the Nation at the forefront of our thoughts and actions. Any activity, which disrupts the integrity of the nation, cannot be in the interest of any segment of the society or any region of the country. All Indians living in different regions of the country have an equal stake in the progress of the country and they have to be assured of the fruits of the progress. (cid:1) Presently, we see that there is a vast regional disparity between different regions of the country 7","Involve the state Governments in the promotion of foreign trade and commerce. Help the states mobilize resources through investments in industry, agriculture and infrastructure.","2","100"
"Eastern Region. We will empower this Ministry with a broader charter and non-lapsable funds for the rapid development of the region. BJP will: (cid:1) put special emphasis on enhancing the connectivity within the region and to the rest of the country. There will be special emphasis on massive infrastructure development, especially along the Line of Actual Control in Arunachal Pradesh and Sikkim. (cid:1) address the issue of Flood control in Assam and river water management. (cid:1) nurture more job generating opportunities like tourism and IT industry. (cid:1) address the issue of infiltration and illegal immigrants in the Northeast region on a priority basis. This will include clear policy directions and effective control at the ground level. (cid:1) complete all pending fencing work along the India-Bangladesh and India-Myanmar border, stepping up border security. (cid:1) take measures for the safety of North-Eastern students studying across the country including setting up Hostels for North-Eastern students at various educational centres. (cid:1) deal with Insurgent groups with a firm hand. Jammu and Kashmir: Jammu and Kashmir was, is and shall remain an integral part of the Union of India. The territorial integrity of India is inviolable. BJP will pursue an agenda of equal and rapid development in all the three regions of the state - Jammu, Kashmir and Ladakh. (cid:1) The return of Kashmiri Pandits to the land of their ancestors with full dignity, security and assured livelihood will figure high on the BJP's agenda. (cid:1) The long pending problems and demands of refugees from Pakistan Occupied Kashmir (POK) will be addressed. (cid:1) BJP reiterates its stand on the Article 370, and will discuss this with all stakeholders and remains committed to the abrogation of this article. (cid:1) All steps will be taken to provide good governance, better infrastructure, educational opportunities, healthcare and more job opportunities, leading to a better quality of life in the valley. Seemandhra and Telangana: BJP is committed to do full justice to Seemandhra, and address the 8","We shall give the highest priority towards bringing the eastern parts of the country on par with the western parts. To that extent, there shall be special focus and emphasis on the development of the eastern side of India. Put special emphasis on enhancing the connectivity within the region and to the rest of the country and There will be special emphasis on massive infrastructure development, especially along the Line of Actual Control in Arunachal Pradesh and Sikkim.","2","87"
"Eastern Region. We will empower this Ministry with a broader charter and non-lapsable funds for the rapid development of the region. BJP will: (cid:1) put special emphasis on enhancing the connectivity within the region and to the rest of the country. There will be special emphasis on massive infrastructure development, especially along the Line of Actual Control in Arunachal Pradesh and Sikkim. (cid:1) address the issue of Flood control in Assam and river water management. (cid:1) nurture more job generating opportunities like tourism and IT industry. (cid:1) address the issue of infiltration and illegal immigrants in the Northeast region on a priority basis. This will include clear policy directions and effective control at the ground level. (cid:1) complete all pending fencing work along the India-Bangladesh and India-Myanmar border, stepping up border security. (cid:1) take measures for the safety of North-Eastern students studying across the country including setting up Hostels for North-Eastern students at various educational centres. (cid:1) deal with Insurgent groups with a firm hand. Jammu and Kashmir: Jammu and Kashmir was, is and shall remain an integral part of the Union of India. The territorial integrity of India is inviolable. BJP will pursue an agenda of equal and rapid development in all the three regions of the state - Jammu, Kashmir and Ladakh. (cid:1) The return of Kashmiri Pandits to the land of their ancestors with full dignity, security and assured livelihood will figure high on the BJP's agenda. (cid:1) The long pending problems and demands of refugees from Pakistan Occupied Kashmir (POK) will be addressed. (cid:1) BJP reiterates its stand on the Article 370, and will discuss this with all stakeholders and remains committed to the abrogation of this article. (cid:1) All steps will be taken to provide good governance, better infrastructure, educational opportunities, healthcare and more job opportunities, leading to a better quality of life in the valley. Seemandhra and Telangana: BJP is committed to do full justice to Seemandhra, and address the 8","NDA government had initiated concrete steps to address the issue of development of Northeast by setting up the Ministry of North- Eastern Region. We will empower this Ministry with a broader charter and non-lapsable funds for the rapid development of the region.","2","89"
"Eastern Region. We will empower this Ministry with a broader charter and non-lapsable funds for the rapid development of the region. BJP will: (cid:1) put special emphasis on enhancing the connectivity within the region and to the rest of the country. There will be special emphasis on massive infrastructure development, especially along the Line of Actual Control in Arunachal Pradesh and Sikkim. (cid:1) address the issue of Flood control in Assam and river water management. (cid:1) nurture more job generating opportunities like tourism and IT industry. (cid:1) address the issue of infiltration and illegal immigrants in the Northeast region on a priority basis. This will include clear policy directions and effective control at the ground level. (cid:1) complete all pending fencing work along the India-Bangladesh and India-Myanmar border, stepping up border security. (cid:1) take measures for the safety of North-Eastern students studying across the country including setting up Hostels for North-Eastern students at various educational centres. (cid:1) deal with Insurgent groups with a firm hand. Jammu and Kashmir: Jammu and Kashmir was, is and shall remain an integral part of the Union of India. The territorial integrity of India is inviolable. BJP will pursue an agenda of equal and rapid development in all the three regions of the state - Jammu, Kashmir and Ladakh. (cid:1) The return of Kashmiri Pandits to the land of their ancestors with full dignity, security and assured livelihood will figure high on the BJP's agenda. (cid:1) The long pending problems and demands of refugees from Pakistan Occupied Kashmir (POK) will be addressed. (cid:1) BJP reiterates its stand on the Article 370, and will discuss this with all stakeholders and remains committed to the abrogation of this article. (cid:1) All steps will be taken to provide good governance, better infrastructure, educational opportunities, healthcare and more job opportunities, leading to a better quality of life in the valley. Seemandhra and Telangana: BJP is committed to do full justice to Seemandhra, and address the 8","Address the issue of Flood control in Assam and river water management.","1","100"
"Eastern Region. We will empower this Ministry with a broader charter and non-lapsable funds for the rapid development of the region. BJP will: (cid:1) put special emphasis on enhancing the connectivity within the region and to the rest of the country. There will be special emphasis on massive infrastructure development, especially along the Line of Actual Control in Arunachal Pradesh and Sikkim. (cid:1) address the issue of Flood control in Assam and river water management. (cid:1) nurture more job generating opportunities like tourism and IT industry. (cid:1) address the issue of infiltration and illegal immigrants in the Northeast region on a priority basis. This will include clear policy directions and effective control at the ground level. (cid:1) complete all pending fencing work along the India-Bangladesh and India-Myanmar border, stepping up border security. (cid:1) take measures for the safety of North-Eastern students studying across the country including setting up Hostels for North-Eastern students at various educational centres. (cid:1) deal with Insurgent groups with a firm hand. Jammu and Kashmir: Jammu and Kashmir was, is and shall remain an integral part of the Union of India. The territorial integrity of India is inviolable. BJP will pursue an agenda of equal and rapid development in all the three regions of the state - Jammu, Kashmir and Ladakh. (cid:1) The return of Kashmiri Pandits to the land of their ancestors with full dignity, security and assured livelihood will figure high on the BJP's agenda. (cid:1) The long pending problems and demands of refugees from Pakistan Occupied Kashmir (POK) will be addressed. (cid:1) BJP reiterates its stand on the Article 370, and will discuss this with all stakeholders and remains committed to the abrogation of this article. (cid:1) All steps will be taken to provide good governance, better infrastructure, educational opportunities, healthcare and more job opportunities, leading to a better quality of life in the valley. Seemandhra and Telangana: BJP is committed to do full justice to Seemandhra, and address the 8","Nurture more job generating opportunities like tourism and IT industry.","2","100"
"Eastern Region. We will empower this Ministry with a broader charter and non-lapsable funds for the rapid development of the region. BJP will: (cid:1) put special emphasis on enhancing the connectivity within the region and to the rest of the country. There will be special emphasis on massive infrastructure development, especially along the Line of Actual Control in Arunachal Pradesh and Sikkim. (cid:1) address the issue of Flood control in Assam and river water management. (cid:1) nurture more job generating opportunities like tourism and IT industry. (cid:1) address the issue of infiltration and illegal immigrants in the Northeast region on a priority basis. This will include clear policy directions and effective control at the ground level. (cid:1) complete all pending fencing work along the India-Bangladesh and India-Myanmar border, stepping up border security. (cid:1) take measures for the safety of North-Eastern students studying across the country including setting up Hostels for North-Eastern students at various educational centres. (cid:1) deal with Insurgent groups with a firm hand. Jammu and Kashmir: Jammu and Kashmir was, is and shall remain an integral part of the Union of India. The territorial integrity of India is inviolable. BJP will pursue an agenda of equal and rapid development in all the three regions of the state - Jammu, Kashmir and Ladakh. (cid:1) The return of Kashmiri Pandits to the land of their ancestors with full dignity, security and assured livelihood will figure high on the BJP's agenda. (cid:1) The long pending problems and demands of refugees from Pakistan Occupied Kashmir (POK) will be addressed. (cid:1) BJP reiterates its stand on the Article 370, and will discuss this with all stakeholders and remains committed to the abrogation of this article. (cid:1) All steps will be taken to provide good governance, better infrastructure, educational opportunities, healthcare and more job opportunities, leading to a better quality of life in the valley. Seemandhra and Telangana: BJP is committed to do full justice to Seemandhra, and address the 8","Address the issue of infiltration and illegal immigrants in the Northeast region on a priority basis. This will include clear policy directions and effective control at the ground level.","1","100"
"Eastern Region. We will empower this Ministry with a broader charter and non-lapsable funds for the rapid development of the region. BJP will: (cid:1) put special emphasis on enhancing the connectivity within the region and to the rest of the country. There will be special emphasis on massive infrastructure development, especially along the Line of Actual Control in Arunachal Pradesh and Sikkim. (cid:1) address the issue of Flood control in Assam and river water management. (cid:1) nurture more job generating opportunities like tourism and IT industry. (cid:1) address the issue of infiltration and illegal immigrants in the Northeast region on a priority basis. This will include clear policy directions and effective control at the ground level. (cid:1) complete all pending fencing work along the India-Bangladesh and India-Myanmar border, stepping up border security. (cid:1) take measures for the safety of North-Eastern students studying across the country including setting up Hostels for North-Eastern students at various educational centres. (cid:1) deal with Insurgent groups with a firm hand. Jammu and Kashmir: Jammu and Kashmir was, is and shall remain an integral part of the Union of India. The territorial integrity of India is inviolable. BJP will pursue an agenda of equal and rapid development in all the three regions of the state - Jammu, Kashmir and Ladakh. (cid:1) The return of Kashmiri Pandits to the land of their ancestors with full dignity, security and assured livelihood will figure high on the BJP's agenda. (cid:1) The long pending problems and demands of refugees from Pakistan Occupied Kashmir (POK) will be addressed. (cid:1) BJP reiterates its stand on the Article 370, and will discuss this with all stakeholders and remains committed to the abrogation of this article. (cid:1) All steps will be taken to provide good governance, better infrastructure, educational opportunities, healthcare and more job opportunities, leading to a better quality of life in the valley. Seemandhra and Telangana: BJP is committed to do full justice to Seemandhra, and address the 8","Complete all pending fencing work along the India- Bangladesh and India-Myanmar border, stepping up border security.","2","100"
