"original_text","label","year","sector"
"Build institutions for today and tomorrow.","2","2014",""
"The BJP will work for restoring the trust and credibility of the Government.","1","2014",""
"We will also ensure that the chain of responsibility and accountability is built in the system.","1","2014",""
"The genuine grievances of every state will be addressed in a comprehensive manner.","1","2014",""
"We will place Centre-State relations on an even keel through the process of consultation and strive for harmonious Centre-State relations.","1","2014",""
"Our Government will be an enabler and facilitator in the rapid progress of states. We will evolve a model of national development, which is driven by the states.","2","2014",""
"Team India shall not be limited to the Prime Minister led team sitting in Delhi, but will also include Chief Ministers and other functionaries as equal partners.","1","2014",""
"Ensure fiscal autonomy of States while urging financial discipline.","1","2014",""
"Create 'Regional Councils of States', with common problems and concerns, with a view to seeking solutions that are applicable across a group of states.","2","2014",""
"We will encourage cooperation among states on security- related issues, inter-state disputes and for removing inter- regional economic disparities and promoting tourism.","1","2014",""
"We recognize the special needs and unique problems of the hill and desert states. In consultation with the Governments of these states, state-specific developmental priorities/ models will be evolved so that the aspirations of the people are met.","2","2014",""
"Given the unique status of Union Territories (UTs), they will receive special attention. We will focus on developing and strengthening the economy of UTs. Tourism will be promoted, tribal welfare and their rights will receive full attention, and infrastructure and coastal area development will be given top priority.","1","2014",""
"We reiterate our commitment to the protection and integrated development of our island territories.","2","2014",""
"The moribund forums like 'National Development Council' and 'Inter-State Council' will be revived and made into active bodies.","2","2014",""
"Involve the state Governments in the promotion of foreign trade and commerce. Help the states mobilize resources through investments in industry, agriculture and infrastructure.","1","2014",""
"We shall give the highest priority towards bringing the eastern parts of the country on par with the western parts. To that extent, there shall be special focus and emphasis on the development of the eastern side of India. Put special emphasis on enhancing the connectivity within the region and to the rest of the country and There will be special emphasis on massive infrastructure development, especially along the Line of Actual Control in Arunachal Pradesh and Sikkim.","1","2014",""
"Government will play the role of an enabler and a facilitator to the rapid progress of the states; planning along regional aspirations, strengths and potentials, evolving appropriate strategies for various zones of the country - hilly regions, plains, desert and coastal areas.","1","2014",""
"NDA government had initiated concrete steps to address the issue of development of Northeast by setting up the Ministry of North- Eastern Region. We will empower this Ministry with a broader charter and non-lapsable funds for the rapid development of the region.","2","2014",""
"Address the issue of Flood control in Assam and river water management.","2","2014",""
"Nurture more job generating opportunities like tourism and IT industry.","1","2014",""
"Address the issue of infiltration and illegal immigrants in the Northeast region on a priority basis. This will include clear policy directions and effective control at the ground level.","1","2014",""
"Complete all pending fencing work along the India- Bangladesh and India-Myanmar border, stepping up border security.","2","2014",""
"Take measures for the safety of North-Eastern students studying across the country including setting up Hostels for North-Eastern students at various educational centres.","1","2014",""
"Deal with Insurgent groups with a firm hand.","0","2014",""
"Jammu and Kashmir: BJP will pursue an agenda of equal and rapid development in all the three regions of the state - Jammu, Kashmir and Ladakh. All steps will be taken to provide good governance, better infrastructure, educational opportunities, healthcare and more job opportunities, leading to a better quality of life in the valley.","2","2014",""
"The return of Kashmiri Pandits to the land of their ancestors with full dignity, security and assured livelihood will figure high on the BJP's agenda.","2","2014",""
"The long pending problems and demands of refugees from Pakistan Occupied Kashmir (POK) will be addressed.","1","2014",""
"BJP reiterates its stand on the Article 370, and will discuss this with all stakeholders and remains committed to the abrogation of this article.","1","2014",""
"Seemandhra and Telangana: BJP is committed to do full justice to Seemandhra, and address the issues of development and governance of Seemandhra and Telangana.","2","2014",""
"Decentralization and People's Participation","1","2014",""
"BJP has stood for greater decentralization through devolving of powers to the states.","1","2014",""
"People's Participation: Our developmental process will be a people's movement - of Jan bhagidari. We will make them the active drivers of development rather than mere passive recipients. ---- People's Engagement: Through Pro-active, Pro-people Good Governance, we will ensure the Government itself directly reaches out to the people, especially the weak and marginalized sections of society. --- We will further evolve the Public Private Partnership (PPP) model into a People-Public-Private Partnership (PPPP) model. --- We will actively involve people in policy formulation and evaluation through various platforms. ---","2","2014",""
"BJP is committed to strengthen self-Governance at the local level and we will empower Panchayati Raj Institutions with extensive devolution of the 3 Fs - Functions, Functionaries and Funds. --- Good performers amongst the Panchayats will be rewarded with additional developmental grants. ---- Strengthen the institution of the Gram Sabha, respecting their inputs and initiatives for development process. ---","2","2014",""
"We will encourage Openness in the Government, involving all stakeholders in the decision-making processes.","1","2014",""
"Reform the System","1","2014",""
"Administrative reforms will be a priority for the BJP. ---The administration and its members will be made truly accountable to their tasks as well as the people through rigorous evaluation process.. ---","2","2014",""
"The objective will be to bring in transparency in Government's decision making process. --- Government systems and processes would be relooked to make them citizen friendly, corruption free and accountable. ---","1","2014",""
"Every effort will be made to meet the development aspirations of the people and make the Government agencies accountable to the citizens.","1","2014",""
"We will set-up an effective Lokpal institution.","1","2014",""
"Corruption at any level will be dealt with firmly and swiftly.","0","2014",""
"Performance review, social and environment audit would be mandated for all Government schemes and programmes.","2","2014",""
"Open up Government to draw expertise from the industry, academia and society into the services. ---Open up government to draw expertise from the industry, academia and society. ----","1","2014",""
"Government will be redefined by elimination of whatever is obsolete in laws, regulations, administrative structures, practices and would be purposive.","2","2014",""
"We will generate 'Kartavya Bhavna' among public servants as lives and productivity of people is dependent on the quality and efficiency of public services.","1","2014",""
"Hallmarks of our Governance model would be:","1","2014",""
"people-centric","2","2014",""
"policy-driven","1","2014",""
"time-bound delivery","1","2014",""
"Minimum government-maximum governance","1","2014",""
"This will be a high priority area for BJP that IT touches the lives of ordinary men and women. ---BJP aims to nurture a Digital India -making every household and every individual digitally empowered.-- BJP aims to make every household digitally literate with a goal to make India the Global Knowledge hub, with IT being a major driver and engine of growth.","2","2014",""
"Focus on increasing the penetration and usage of broadband across the country. Deployment of broadband in every village would be a thrust area.","2","2014",""
"Leverage technology for e-Governance and engage proactively with the people through social media for participative governance and effective public grievance redressal mechanism.","2","2014",""
"Generate IT based jobs in rural and semi-urban areas.","2","2014",""
"Make technology enabled products affordable for students. Use technology to reduce the burden of books on children. Make all institutions and schools enabled in a phased manner. Digital learning and training to be used extensively.","2","2014",""
"pursue a mission mode project under the 'National Rural Internet and Technology Mission' for use of telemedicine and mobile healthcare for rural healthcare delivery; use of IT for agriculture for real time information; Self Help Groups; retail trade and SMEs; and rural entrepreneurs, etc.","1","2014",""
"Initiate a National e-Governance Plan to cover every Government office from the centre to the panchayats. The 'E Gram, Vishwa Gram' scheme in Gujarat to be implemented nationwide.","1","2014",""
"Promote e-Bhasha - National Mission for the promotion of IT in Indian Languages.","2","2014",""
"Focus to bring SC/ST, OBCs and other weaker sections of the society within the ambit of IT enabled development.","1","2014",""
"Deploy IT to protect India's priceless cultural and artistic heritage, which includes digitization of all archives and museology.","2","2014",""
"Promote 'open source' and 'open standard' software.","1","2014",""
"Mandate digitization of all government work to reduce corruption and delays.","1","2014",""
"Set up High-speed digital highways to unite the nation.","2","2014",""
"Use technology to reduce Transmission and distribution losses.","2","2014",""
"Use mobile and e-Banking to ensure financial inclusion.","2","2014",""
"Good performance will be rewarded; non-performers will be given opportunities and training support to improve.","2","2014",""
"Rationalization and convergence among the Ministries, departments and other arms of the Government will be ensured to focus on delivery.","1","2014",""
"Services of youth in particular will be tapped to contribute in governance with Fellowship and Internship programmes launched at various levels.","2","2014",""
"Accord high priority to judicial reforms to address the issue of appointment of judges, filling the vacancies Opening new courts, setting up a mechanism for speedy clearance of the backlog of cases at various levels in the judiciary.","1","2014",""
"Initiate a mission mode project for filling the vacancies in the judiciary and for doubling the number of courts and judges in the subordinate judiciary.","1","2014",""
"Create a fund for modernization of courts to improve the operational efficiency of courts.","2","2014",""
"Set up a separate class of courts for cases involving specified commercial laws which fast track the litigation process. Extend fast track courts to all layers of the judiciary.","1","2014",""
"Reform the criminal justice system to make dispensation of justice simpler, quicker and more effective and after examining the recommendations of the earlier reports on this subject.","2","2014",""
"Initiate the computerization and networking of courts all over the country. Simplify legal procedure and language.","1","2014",""
"Expand alternative dispute redressal mechanisms through Lok Adalats and Tribunals. Give special emphasis to the development of Alternate Dispute Resolution mechanisms – like LokAdalats, Arbitration and Conciliation centres","1","2014",""
"Implement the National Litigation Policy in letter and spirit to reduce average pendency time of cases. Review and reduce significantly the number of cases, in which the Government is a litigant in the next five years.","1","2014",""
"Periodically review and refine/ scrap outdated laws. Undertake a comprehensive review of the legal system to simplify complex legislations – converge overlapping legislation, as well as remove contradictory and redundant laws. Establish an institutional mechanism to periodically review and give suggestions for refining our laws.","1","2014",""
"Create courts specially equipped to deal with IPR cases.","2","2014",""
"Set up a comprehensive National e-Library, empowering Lawyers.","2","2014",""
"Evolve a national network of specialized universities having expertise in complementary domains - like Forensics, Arbitration, IPR, International Law, etc.","2","2014",""
"Develop India into a Global Hub for Arbitration and Legal Process Outsourcing.","1","2014",""
"We will simultaneously reform the legal system to make it more accessible to the common man. Make legal information open and freely accessible. Run legal awareness programmes and introduce in school curriculum - making the common man aware of his rights and duties","1","2014",""
"We will work with the states to empower Police with the authority, independence and resources. Facilitate training and capacity building of Police forces Modernize the police force, equipping them with the latest technology. Initiate the networking of police stations across the country for intelligence sharing and crime control. Develop specialized expertise in investigation; through continuous training, especially in evolving competencies. Strengthen Investigations, making them Swift, Transparent, Fair, Clear and Decisive - acting as an inescapable deterrent to wrong- doers and a protective shield to the innocent. Overhaul our intelligence set up, with special focus on coordination and integration of human and technological intel - comprehensively gearing it towards collecting real time, specific and actionable inputs.","1","2014",""
"Roll out a comprehensive strategy for bringing the Indian Police at par with international standards.","2","2014",""
"Modernize our Prison system with technology and infrastructure; to strengthen the security as well human rights and correctional dimensions. Work towards evolving common national standards and protocols. Train and technologically enable the police to track, pursue, as well as prevent Cyber Crime.","1","2014",""
"Bring Coastal States together on a common platform to discuss issues of Marine Policing.","2","2014",""
"Reinterpret the age-old concept of community policing in modern times; evolving ways for the police to reach out to the people, building bonds of trust and friendship - including spreading out into areas of public safety and public wellness. Give special emphasis for improving the working conditions and welfare of police personnel.","2","2014",""
"BJP is committed to initiate electoral reforms that will enable to eradicate corruption, eliminate criminals and it also commits to hold wider consultations with all the stakeholders for holding simulataneous elections of Parliament and State assemblies. BJP will also work with political parties and the EC make expenditure limits more realistic.","1","2014",""
"With firm belief in the concept of Antyodaya - uplifting the poorest of the poor - Extreme Poverty and malnutrition will be treated as a National priority, and will be addressed on Mission Mode.","1","2014",""
"Strengthen Delivery of poverty alleviation programs through convergence, transparency and efficiency.","1","2014",""
"Identify 100 most backward districts of the country to bring them at par with other districts through prioritized and integrated development.","2","2014",""
"Strengthen the natural resource base of the people to tide over natural calamities.","2","2014",""
"Aim to gainfully employ rural poor in agriculture and allied activities. Enable the urban poor to develop skills so that they take advantage of the emerging opportunities. Facilitate partnership across all levels of government, civil society, academic and financial institutions in this national mission of poverty alleviation.","1","2014",""
"BJP will take steps to ensure that the benefits of the scheme reach the common man and that the right to food does not remain an act on paper or a political rhetoric. BJP will review all the laws and schemes, in consultation with the states, to ensure a corruption-free efficient implementation of food security, which would be a priority.","1","2014",""
"Reviw the successful PDS models. And incorporate the best practoces to revose the existing PDS, for benefitting the common man.","1","2014",""
"Address the issue of under-nutrition and malnutrition.","1","2014",""
"Encourage the production of cereals, pulses and oils.","2","2014",""
"Radically transform the Food Corporation of India (FCI).","1","2014",""
"Ensure contingency stocks for any exigencies arising due to natural calamities or external factors.","1","2014",""
"Seek the participation of voluntary organizations in running community kitchens.","1","2014",""
"Instead of pursuing identity politics and tokenisms, we will focus on empowering the deprived sections of society. Steps will be taken to create an enabling ecosystem of equal opportunity - for education, health and livelihood.","1","2014",""
"We will accord highest priority to ensuring their security, especially the prevention of atrocities against SCs & STs.","1","2014",""
"The BJP is committed to bridge the divide following the principle of social justice (Samajik Nyay) and social harmony (Samajik Samrasata).","2","2014",""
"A high priority for SC, ST, OBCs and other weaker sections would be to create an ecosystem for education and entrepreneurship.","2","2014",""
"BJP is committed to the eradication of untouchability at all levels.","1","2014",""
"BJP is committed to eliminate manual scavenging. BJP will look at more effective ways to pull these people out of the poverty line.","2","2014",""
"BJP will ensure that the funds allocated for schemes and programmes for SC, ST, OBCs and other weaker sections are utilized properly.","1","2014",""
"A mission mode project would be made for housing, education, health and skills development. Special focus would be on the children, especially the girl child, with regards to health, education and skills development.","2","2014",""
"The goal would be to ensure tribal development while preserving the unique identities of this community.","2","2014",""
"BJP will initiate a 'Van BandhuKalyanYojna' at the national level to be overseen by a 'Tribal Development Authority'.","1","2014",""
"Setting up the entire education network for tribals.","2","2014",""
"Upgrading housing, water and health facilities.","2","2014",""
"Electrification of tribal hamlets and provision of all - weather roads.","2","2014",""
"Initiating new economic activities.","2","2014",""
"Promoting the products associated with the tribal culture by setting tribal haats in tourist towns and other centres. Facilitating access to minor forest produce and creating a network of rural haats (markets).","1","2014",""
"Ensure that the tribal land is not alienated.","1","2014",""
"Establishing the National Centre for Tribal Research and Culture to preserve the tribal culture and languages.","2","2014",""
"Enhancing the funds for tribal welfare and development.","2","2014",""
"BJP is committed to the preservation of the rich culture and heritage of India's minority communities; alongside their social and economic empowerment. Curate their rich heritage and culture - maintenance and restoration of heritage sites; digitization of archives; preservation and promotion of Urdu.","1","2014",""
"BJP is committed to ensure that all communities are equal partners in India's progress, as we believe India cannot progress if any segment of Indians is left behind.","1","2014",""
"Ensure that the young, and the girl child in particular get education and jobs without discrimination.","2","2014",""
"Strengthen and modernize minority educational systems and institutions; dovetailing them with modern requirements. National Madrasa modernization programme would be initiated.","1","2014",""
"Empower with vibrancy in Livelihood and Entrepreneurial opportunities.","1","2014",""
"Augment their traditional artisanship and entrepreneurial skill, which are a backbone of our cottage and small-scale industry - strengthening these sectors through better market linkages, branding and access to credit.","1","2014",""
"Empower Waqf Boards in consultation with religious leaders; taking steps to remove encroachments from and unauthorized occupation of Waqf properties.","1","2014",""
"Merged with 178","1","2014",""
"Ensure a peaceful and secure environment, where there is no place for either the perpetrators or exploiters of fear.","0","2014",""
"Educational scholarships and educational facilities.","2","2014",""
"Medical insurance and quality healthcare services.","1","2014",""
"Middle-income housing.","0","2014",""
"Efficient public transport systems.","2","2014",""
"A full-fledged programme for 'Rural Rejuvenation' will be made and implemented which will comprise of integrated strategies for personal, economic and social well-being of the villagers. Through the idea of Rurban, we will bring urban amenities to our rural areas, while retaining the soul of the village. Major thrust area for rural development would be to improve village level infrastructure in terms of roads, potable water, education, health, supply chain, electricity, broadband, job creation, security in rural areas and linkage to markets.","2","2014",""
"We will look at urbanisation as an Opportunity rather than a Threat. Major steps will be undertaken in Transport and Housing for 'Urban Upliftment' in India. We will initiate building 100 new cities; enabled with the latest in technology and infrastructure - adhering to concepts like sustainability, walk to work etc, and focused on specialized domains.","2","2014",""
"The approach to urban development will be based on integrated habitat development - building on concepts like Twin cities and Satellite towns.","1","2014",""
"Upgrade existing urban centres, transitioning focus from basic infrastructure to public utility services like Waste and Water Management - for a clean and healthy city life. Cleanliness and Sanitation will be given priority - efficient Waste and Water management systems will be set up. Model towns will be identified for rolling out integrated waste management infrastructure.","2","2014",""
"Wi-Fi facilities will be made available in public places and commercial centres.","1","2014",""
"Urban poverty alleviation scheme would be a key thrust area.","2","2014",""
"Use technology for scientific, strategic and long term town planning - including GIS based mapping","2","2014",""
"Build quality integrated Public Transport systems, discouraging usage of private vehicles.","2","2014",""
"We will make an effort that government withdraws from those services which could be done by others and devote that extra time, money and energy for social sectors, particularly for development of the weaker sections.","1","2014",""
"Maximum application of technology for making governance easy, economical and effective.","1","2014",""
"BJP is committed to address the issues related to children, like malnutrition and under-nutrition, problem of child labour, child-trafficking and missing children, sexual abuse, school dropouts and the increasing crime rate among juveniles.","1","2014",""
"Lay special emphasis on vulnerable children and especially those belonging to the vulnerable communities like SCs, STs, OBCs, migrants, slum dwellers, street dwellers and those with disabilities.","1","2014",""
"Ensure effective implementation of the Right to Education, Right to Food Security Act.","1","2014",""
"Review, amend and strengthen the Child and Adolescent Labour (Prohibition and Regulation) Act, 2012 and Integrated Child Protection Scheme (ICPS).","1","2014",""
"Focused efforts will be made to address issue of anaemia.","1","2014",""
"Reduce the burden of books on children without compromising on the quality of education.","1","2014",""
"Endeavour to inculcate values amongst children.","1","2014",""
"BJP is committed to the welfare of senior citizens, especially their security and health care. We will take measures to deal with the issues related to the senior citizens in a focused manner. Invest in setting up and improving old-age homes.","2","2014",""
"Provide financial support, exploring ideas like additional tax benefits and higher interest rates.","1","2014",""
"To Harness experience of senior citizens, we will Devise schemes and programs to engage them as volunteers","1","2014",""
"The welfare and rehabilitation of disabled people is integral to our vision of a caring society and that of a responsive government. Enact the 'Rights of the Persons with Disabilities bill' (RPWD).","1","2014",""
"Use technology to deliver low cost quality education to specially-abled students 'in-home' – through E-learning.","1","2014",""
"Identify each and every special needs person across the country - establishing a web based disability registration system to issue universal ID for all applicable government benefits (healthcare, transportation, jobs, education etc).","1","2014",""
"Ensure disabled friendly access to public facilities, public buildings and transport.","1","2014",""
"Ensure maximum economic independence of the disabled by creating more income generation models for them.","1","2014",""
"Support and aid voluntary organizations working for the care of the divyangjan.","2","2014",""
"Provide a higher tax relief for the family member taking care of the disabled.","0","2014",""
"We commit to review and revise policies to seek participation of youth in decision-making and nation building process and actively get the youth to participate in decision-making bodies. we will initiate the 'Young Leaders programme' in all sectors, to recognize, reward and involve these exceptionally talented youth to serve as role models and mentors for others. Set up the National Youth Advisory Council.","1","2014",""
"BJP will initiate nation-wide 'district level incubation and accelerator programme' for encouraging innovation and entrepreneurship.","2","2014",""
"Procedure to avail Student's loans will be simplified and loans made affordable.","1","2014",""
"Set up neighbourhood Children's/ Youth Parliament across India that leads to vibrant student committees leading to development","1","2014",""
"BJP will promote all sports - traditional and modern. Encourage business houses to patronize sports and sportspersons.","2","2014",""
"More funds will be allocated to sports, and we will encourage the State Governments to fully discharge their responsibility in the promotion of sports.","1","2014",""
"Steps would be taken to inculcate a culture of sports at the school level by arranging sports facilities and training needs for promoting a healthy lifestyle, and making sports as a compulsory part of the school curriculum.","2","2014",""
"Launch a 'National Sports Talent Search System', so that extraordinary sporting talent is identified at a very young age. Such promising boys and girls will be selected for special training.","2","2014",""
"Attractive career path needs to be planned for sportspersons providing security of career through jobs in government, PSUs and private sector.Special scheme would be devised for sportspersons to ensure social security","1","2014",""
"Establish sports academies across the country.","2","2014",""
"Mandate all new housing colonies to include sports facilities.","2","2014",""
"Women's welfare and development will be accorded a high priority at all levels within the government, and BJP is committed to 33% reservation in parliamentary and state assemblies through a constitutional amendment.","1","2014",""
"Launch a national campaign for saving the girl child and educating her -","1","2014",""
"Structure a comprehensive scheme, incorporating best practices from past successes like BalikaSamruddhi, LadliLaxmi and ChiranjeeviYojana to support encourage positive attitude amongst families towards the girl child.","1","2014",""
"Program for women healthcare in a mission mode, especially focusing on domains of Nutrition and Pregnancy - with emphasis on rural, SCs, STs and OBCs.","1","2014",""
"We will enable women with training and skills - setting up dedicated Women ITIs, Women wings in other ITIs.","1","2014",""
"Strict implementation of laws related to women, particularly those related to rape, Appropriate measures would be taken to check female foeticide, dowry, child marriage, trafficking, sexual harassment, rape and family violence.","0","2014",""
"Fund for relief and rehabilitation of rape victims lies unused at the Centre as the Government has not worked out the modalities of dispensation. BJP will clear this on priority.","2","2014",""
"Government will create an Acid Attack victims welfare fund to take care of the medical costs related to treatment and cosmetic reconstructive surgeries of such victims.","1","2014",""
"Make police stations women friendly, and increase the number of women in police at different levels.","1","2014",""
"Introduce self defence as a part of the school curriculum.","1","2014",""
"Using information technology for women's safety.","2","2014",""
"Special skills training and business incubator park for women. Set up a dedicated W-SME (Women Small and medium enterprises) cluster in every district. Set up an All Women Mobile Bank to cater to women.","1","2014",""
"Expand and improve upon the network of women / working women hostels.","1","2014",""
"Review the working conditions and enhance the remuneration of Anganwadi worker's.","1","2014",""
"Remove any remaining gender disparities in property rights, marital rights and cohabitation rights.","1","2014",""
"Will ensure that the loans to Women Self Help Groups would be available at low interest rates.","1","2014",""
"Special programs aimed at girls below poverty line, tribals and indigent women.","1","2014",""
"We will transform the quality of life of women in Rural India by providing electricity, tapped water, cleaner fuel and toilets in every home.","1","2014",""
"NDA's flagship program 'SarvaShikshaAbhiyan': Mechanism would be set up for its performance audit and to have real time information about its performance. Programme shall be strengthened and expanded with a goal to remove illiteracy.","1","2014",""
"Universalization of secondary school education and skills development through functional school shall be seriously pursued with particular focus on rural, tribal and difficult areas.","1","2014",""
"The content and process of school education shall be thoroughly reviewed to make it dynamic, stress-free, attractive and responsive to the emerging national needs. We will explore ways to reduce the daily burden of carrying books to school for children, which would also entail use of technology for education as a mission mode project.","1","2014",""
"Girls shall be provided all possible help to continue and complete school education.","1","2014",""
"The digital divide shall not be allowed to create further divisions in the learning situations of children.","1","2014",""
"Special pedagogy would be developed for differently-abled students.","2","2014",""
"On priority, a national modernization programme for madrasa's would be started.","2","2014",""
"Mid-day meal scheme would be revitalized in terms of management and delivery.","2","2014",""
"Establish a national E-Library to empower school teachers and students. Optimum utilization of physical and manpower resources.","2","2014",""
"Initiate a multi-country student exchange programme for broadening the horizon of school going children.","2","2014",""
"Creative talents of students will be recognized and encouraged.","2","2014",""
"Enhancing the pivotal role of the teachers by reworking the work culture of teacher training institutions with a goal to prepare committed and performing teachers.","2","2014",""
"A mechanism for close interaction between industry (including SME), academia and community would be instituted.","1","2014",""
"Needs assessment exercise will be done for identifying the future needs across sectors, and the same would be used for developing appropriate courses for higher education, to ensure that the country has adequate manpower for every sector, both established and emerging, in the economy.","1","2014",""
"Will provide autonomy with steps to ensure accountability for institutions of higher learning.","2","2014",""
"Will raise the standard of education and research, so that Indian universities become at par with the top global universities and find their place in the global league","2","2014",""
"The credibility of the regulatory bodies shall be restored. The procedures to make appointments to senior positions shall be made transparent and merit and ability shall be the sole criterion.","1","2014",""
"UGC will be restructured and it will be transformed into a Higher Education Commission rather than just being a grant distribution agency","1","2014",""
"We will revisit the Apprenticeship Act to facilitate our youth to Earn while they Learn.","2","2014",""
"Would set up Massive Open Online Courses (MOOC) and virtual classrooms to make it convenient for working class people and housewives to further their knowledge and qualifications. Correspondence courses will be started in new domains for self-employment, family run businesses, entrepreneurship and innovation, and these courses would be provided for free to women. The goal would be to prepare the youth for jobs being created by the emerging sectors, foster a spirit of innovation and entrepreneurship, leading to more incomes and job creation.","1","2014",""
"Will set up a National Commission on Education to report in two years on the state of education and the reforms needed.","1","2014",""
"Will implement a National Education Policy to meet the changing dynamics of the population's requirement with regards to quality education, innovation and research, aiming to make India a knowledge superpower by equipping its students with the necessary skills and knowledge and to eliminate the shortage of manpower in science, technology, academics and industry.","1","2014",""
"Skill Mapping - to help scientifically plan our national human resource development that India would need","2","2014",""
"Launch a 'National Multi-skill Mission'","2","2014",""
"We will run short-term courses, in the evenings, focusing on employable skills.","2","2014",""
"We will also set up Centres of Excellence in various sectors in partnership with the Industry.","2","2014",""
"To ensure industry responsive manpower, we will bring together industry, universities and government.","2","2014",""
"We will promote vocational training on a massive scale. Rigid segregation of formal education and skill development will be broken; a mechanism will be established to give vocational qualifications of Academic Equivalence.","1","2014",""
"We will also create institutional mechanisms to refresh and upgrade abilities through continuing education - to make them employable.","1","2014",""
"We will focus on need based skill development and employability; making our youth employable even in the most sophisticated jobs.","2","2014",""
"Put emphasis on imparting soft skills to enhance employability including a national program on foreign languages","1","2014",""
"Launch a national programme for digital empowerment through computer literacy of the people, especially the youth.","1","2014",""
"We will assess the talent and capacity of our youth from an early age; so they can be groomed accordingly.","1","2014",""
"We will push for greater practical and research training encouraging real world experience through internships and apprenticeships.","2","2014",""
"Will initiate the New Health Policy","2","2014",""
"Initiate the 'National Health Assurance Mission', with a clear mandate to provide universal healthcare that is not only accessible and affordable, but also effective, and reduces the OOP spending for the common man.","1","2014",""
"Education and Training - Will review the role of various professional regulatory bodies in healthcare and consider setting up an overarching lean body for healthcare. High priority will be given to address the shortfall of healthcare professionals.","1","2014",""
"Modernize Government hospitals, upgrading infrastructure and latest technologies.","1","2014",""
"Reorganize Ministry of Health and Family Welfare in order to converge various departments dealing in healthcare, food and nutrition and pharmaceuticals, for effective delivery of healthcare services.","2","2014",""
"Increase the number of medical and para-medical colleges to make India self sufficient in human resources, and set up an AIIMS like institute in every state.","1","2014",""
"Yoga and Ayurveda are the gifts of ancient Indian civilization to humanity and we will increase the public investment to promote Yoga and AYUSH. We will start integrated courses for Indian System of Medicine (ISM) and modern science and Ayurgenomics. We will set up institutions and launch a vigorous program to standardize and validate the Ayurvedic medicine.","1","2014",""
"Move to pre-emptive care model where the focus and thrust will be on child health and prevention.","2","2014",""
"School health program would be a major focus area, and health and hygiene will be made a part of the school curriculum","1","2014",""
"Focus on Rural Health care delivery.","2","2014",""
"Senior Citizens healthcare would be a special focus area.","2","2014",""
"Give high priority to chronic diseases, and will invest in research and development of solutions for chronic diseases like obesity, diabetes, cancer, CVD etc.","2","2014",""
"Occupational health programs will be pursued aggressively.","2","2014",""
"Utilize the ubiquitous platform of mobile phones for healthcare delivery and set up the 'National eHealth Authority' to leverage telemedicine and mobile healthcare for expanding reach and coverage and to define the standards and legal framework for technology driven care.","1","2014",""
"Universalization of emergency medical services-108.","2","2014",""
"Re-orientation of herbal plants board to encourage farming of herbal plants.","2","2014",""
"Population stabilization would be a major thrust area and would be pursued as a mission mode program.","1","2014",""
"Programme for Women Healthcare with emphasis on rural, SC, ST and OBC in a mission mode.","1","2014",""
"Mission mode project to eradicate malnutrition.","1","2014",""
"Launch National Mosquito Control mission.","1","2014",""
"Create an open defecation free India by awareness campaign and enabling people to build toilets in their home as well as in schools and public places. Set up modern, scientific sewage and waste management systems.","2","2014",""
"We will introduce Sanitation Ratings measuring and ranking our cities and towns on 'sanitation'; and rewarding the best performers.","2","2014",""
"Make potable drinking water available to all thus reducing water-borne diseases, which will automatically translate into Diarrhoea-free India.","1","2014",""
"Find out solutions, which are effective in the short run and lasting in the long run.","2","2014",""
