2024_Promise,Forecast,Similarity_Score,Historical_Match,Historical_Year
"We will focus on the modern road network, enhance rail and metro connectivity with new-age trains and expanded networks, develop comprehensive EV charging stations, construct new airports and advance GUARANTEE FOR our telecom infrastructure with affordable 5G and innovative 6G technology, promoting ease of living for middle class families. MIDDLE-CLASS Developing Sustainable Cities PARIVAR JAN",Moderate Confidence: Unlikely,0.6626,Modernize and equip all stations with requisite infrastructure and public utilities.,2014
"We will develop more green spaces like parks, playgrounds etc., revive water bodies like lakes and ponds and develop other natural spaces to make cities more adaptable, sustainable and people-friendly. Our middle-class parivar jan are the backbone of our economy. Through their hard work, they are contributing a lot to Bharat’s economic growth. We are committed to support the aspirations of middle-class parivar jan, providing them opportunities to fulfil their dreams and creating conditions for a better quality of life. Empowering the Neo-Middle Class The last 10 years have seen a large number of families join the ranks of the neo-middle class due to a steady increase in the incomes of all citizens. It is our responsibility to help them grow further while giving them enough support to stabilise their standard of living. This includes support for affordable quality housing and healthcare, access to quality education and ample employment opportunities. Fulfilling the Dream of Owning a Home",Low Confidence: Highly Likely,0.5682,"A full-fledged programme for 'Rural Rejuvenation' will be made and implemented which will comprise of integrated strategies for personal, economic and social well-being of the villagers. Through the idea of Rurban, we will bring urban amenities to our rural areas, while retaining the soul of the village. Major thrust area for rural development would be to improve village level infrastructure in terms of roads, potable water, education, health, supply chain, electricity, broadband, job creation, security in rural areas and linkage to markets.",2014
We will strengthen the RERA act which has helped make the real estate sector in Bharat more,Low Confidence: Highly Likely,0.5116,"A full-fledged programme for 'Rural Rejuvenation' will be made and implemented which will comprise of integrated strategies for personal, economic and social well-being of the villagers. Through the idea of Rurban, we will bring urban amenities to our rural areas, while retaining the soul of the village. Major thrust area for rural development would be to improve village level infrastructure in terms of roads, potable water, education, health, supply chain, electricity, broadband, job creation, security in rural areas and linkage to markets.",2014
"transparent and citizen friendly than ever before. We will work with the state governments to facilitate home ownership for middle-class parivar jan through comprehensive measures including cost reduction in construction and registration, regulatory reforms like enabling automatic approvals for standard housing designs, among others.",Low Confidence: Partial,0.54,"The objective will be to bring in transparency in Government's decision making process. --- Government systems and processes would be relooked to make them citizen friendly, corruption free and accountable. ---",2014
13 13,Indeterminate,0.4044,Poshan Abhiyaan.,2019
"We will expand Bharat's top-tier startup ecosystem to tier-2 and tier-3 cities. Further, we will transform",Low Confidence: Highly Likely,0.5321,BJP will initiate nation-wide 'district level incubation and accelerator programme' for encouraging innovation and entrepreneurship.,2014
Our women sports persons have brought honours to our country. We will encourage greater Bharat into a global centre for high quality services including tourism to generate high value and diverse participation of women in sports by launching women sportsperson-focused programmes and facilities. employment opportunities nationwide. Constructing and Maintaining Public Toilets for Women Ensuring Quality Health Care for the Middle Class We have provided dignified lives to women by constructing public and individual toilets under Swachh We have provided high quality healthcare services to the middle class families by expanding the AIIMS Bharat Mission. We are further committed to upholding the dignity of women by continuing to construct and Ayushman Arogya Mandir network. We have provided subsidised medicines through Jan Aushadhi and maintain public toilets.,Moderate Confidence: Partial,0.6942,"We will provide adequate resources under the Khelo India scheme to ensure the achievement of declared objectives. Under this scheme, special attention will be given to encourage sporting talent among women.",2019
Kendras and also established 315 new medical colleges across the country. We will continue to expand these services for our middle class families to ensure accessible high quality healthcare services. Ensuring Women’s Health and Well-Being,Low Confidence: Partial,0.5709,75 Medical Institutes will be set up by 2022. This would ensure availability and accessibility of quality secondary and tertiary medical care to the citizens across the diverse landscape of our country (+),2019
"Promoting Quality Higher Education We will expand the existing health services focussed on the prevention and reduction of Anaemia, Breast",Low Confidence: Partial,0.5808,"We will also accelerate the reforms in para-medical education sector so as to increase the availability of nurses, pharmacists and other paramedical personnel.",2019
"Cancer, Cervical Cancer and Osteoporosis, ensuring a healthy life for women. We will launch a focussed",Indeterminate,0.4643,"Give high priority to chronic diseases, and will invest in research and development of solutions for chronic diseases like obesity, diabetes, cancer, CVD etc.",2014
We will elevate the quality of education by expanding top educational institutions and upgrading initiative to eliminate cervical cancer.,Low Confidence: Partial,0.5923,"We will also accelerate the reforms in para-medical education sector so as to increase the availability of nurses, pharmacists and other paramedical personnel.",2019
"universities to global standards. We will introduce more IITs, IIMs, AIIMS and other such institutes. We will launch internship programmes to blend academic and practical skills. Implementing the Nari Shakti Vandan Adhiniyam",Low Confidence: Partial,0.5939,We will encourage academic institutions towards excellence and motivate more such institutions to rank among the top institutions of the world,2019
Improving Infrastructure for Ease of Living MODI KI We have enacted the long-awaited Nari Shakti Vandan Adhiniyam. We will systematically implement this to ensure representation for women in the Parliament and State Legislatures.,Low Confidence: Partial,0.5698,"We will transform the quality of life of women in Rural India by providing electricity, tapped water, cleaner fuel and toilets in every home.",2014
"We will focus on the modern road network, enhance rail and metro connectivity with new-age trains and expanded networks, develop comprehensive EV charging stations, construct new airports and advance GUARANTEE FOR Expanding Shakti Desks our telecom infrastructure with affordable 5G and innovative 6G technology, promoting ease of living for",Moderate Confidence: Unlikely,0.6267,Modernize and equip all stations with requisite infrastructure and public utilities.,2014
We have established Shakti Desks (Women Help Desks) in police stations. We will further ensure their middle class families. NARI SHAKTI expansion for timely investigation and resolution of issues. Developing Sustainable Cities Strengthening Emergency Helpline 112,Low Confidence: Partial,0.5231,"Make police stations women friendly, and increase the number of women in police at different levels.",2014
"We will develop more green spaces like parks, playgrounds etc., revive water bodies like lakes and ponds",Low Confidence: Partial,0.5518,We will ensure sustainability of water supply through special focus on conservation of rural water bodies and ground water recharge,2019
"We will strengthen the Emergency Response Support System and enhance the capabilities of and develop other natural spaces to make cities more adaptable, sustainable and people-friendly. Emergency Helpline 112 Our vision is to create a Viksit Bharat where Nari Shakti is an equal partner and stakeholder in society’s progress. Through a series of legal and policy frameworks, we will ensure the dignity of women and provide them with equal growth opportunities. Three Crore Lakhpati Didis",Low Confidence: Highly Likely,0.597,"A full-fledged programme for 'Rural Rejuvenation' will be made and implemented which will comprise of integrated strategies for personal, economic and social well-being of the villagers. Through the idea of Rurban, we will bring urban amenities to our rural areas, while retaining the soul of the village. Major thrust area for rural development would be to improve village level infrastructure in terms of roads, potable water, education, health, supply chain, electricity, broadband, job creation, security in rural areas and linkage to markets.",2014
We have empowered one crore rural women to become Lakhpati Didis. We will now empower three crore Empowering the Neo-Middle Class rural women to become Lakhpati Didis. The last 10 years have seen a large number of families join the ranks of the neo-middle class due to a Integrating Women SHGs in the Service Sector steady increase in the incomes of all citizens. It is our responsibility to help them grow further while,Low Confidence: Partial,0.5241,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019
"giving them enough support to stabilise their standard of living. This includes support for affordable We will empower women Self-Help Groups (SHGs) with the skills and tools in key service sectors like IT, quality housing and healthcare, access to quality education and ample employment opportunities. healthcare, education, retail and tourism with an aim to increase their income. Fulfilling the Dream of Owning a Home Enhancing Market Access for Women SHG Enterprises",Moderate Confidence: Partial,0.6323,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019
We will strengthen the RERA act which has helped make the real estate sector in Bharat more We will integrate women Self-Help Groups (SHGs) with ongoing initiatives such as One District One,Low Confidence: Partial,0.547,We are committed to make women equal partners in and equal beneficiaries of the progress and prosperity of the nation and will formulate a comprehensive ‘Women in Workforce’ roadmap focussed on dramatically increasing the female workforce participation rate over the next five years. We will also encourage industries and corporates to generate better employment opportunities for women.,2019
"transparent and citizen friendly than ever before. We will work with the state governments to facilitate Product (ODOP), Farmer Producer Organizations (FPOs), Ekta Mall, ONDC, GEM, One Station One Product, home ownership for middle-class parivar jan through comprehensive measures including cost reduction enhancing better market access for their products. in construction and registration, regulatory reforms like enabling automatic approvals for standard Facilitating Participation of Women in the Workforce housing designs, among others.",Low Confidence: Partial,0.581,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019
"We will ensure development of infrastructure such as working women’s hostels, creches etc. with the specific focus on locations near industrial and commercial centres to facilitate increased participation of women in the workforce.",High Confidence: Partial,0.7123,Expand and improve upon the network of women / working women hostels.,2014
14 14,Indeterminate,0.4046,Namami Gange,2019
"We will expand Bharat's top-tier startup ecosystem to tier-2 and tier-3 cities. Further, we will transform",Low Confidence: Highly Likely,0.5321,BJP will initiate nation-wide 'district level incubation and accelerator programme' for encouraging innovation and entrepreneurship.,2014
Our women sports persons have brought honours to our country. We will encourage greater Bharat into a global centre for high quality services including tourism to generate high value and diverse participation of women in sports by launching women sportsperson-focused programmes and facilities. employment opportunities nationwide. Constructing and Maintaining Public Toilets for Women Ensuring Quality Health Care for the Middle Class We have provided dignified lives to women by constructing public and individual toilets under Swachh We have provided high quality healthcare services to the middle class families by expanding the AIIMS Bharat Mission. We are further committed to upholding the dignity of women by continuing to construct and Ayushman Arogya Mandir network. We have provided subsidised medicines through Jan Aushadhi and maintain public toilets.,Moderate Confidence: Partial,0.6942,"We will provide adequate resources under the Khelo India scheme to ensure the achievement of declared objectives. Under this scheme, special attention will be given to encourage sporting talent among women.",2019
Kendras and also established 315 new medical colleges across the country. We will continue to expand these services for our middle class families to ensure accessible high quality healthcare services. Ensuring Women’s Health and Well-Being,Low Confidence: Partial,0.5709,75 Medical Institutes will be set up by 2022. This would ensure availability and accessibility of quality secondary and tertiary medical care to the citizens across the diverse landscape of our country (+),2019
"Promoting Quality Higher Education We will expand the existing health services focussed on the prevention and reduction of Anaemia, Breast",Low Confidence: Partial,0.5808,"We will also accelerate the reforms in para-medical education sector so as to increase the availability of nurses, pharmacists and other paramedical personnel.",2019
"Cancer, Cervical Cancer and Osteoporosis, ensuring a healthy life for women. We will launch a focussed",Indeterminate,0.4643,"Give high priority to chronic diseases, and will invest in research and development of solutions for chronic diseases like obesity, diabetes, cancer, CVD etc.",2014
We will elevate the quality of education by expanding top educational institutions and upgrading initiative to eliminate cervical cancer.,Low Confidence: Partial,0.5923,"We will also accelerate the reforms in para-medical education sector so as to increase the availability of nurses, pharmacists and other paramedical personnel.",2019
"universities to global standards. We will introduce more IITs, IIMs, AIIMS and other such institutes. We will launch internship programmes to blend academic and practical skills. Implementing the Nari Shakti Vandan Adhiniyam",Low Confidence: Partial,0.5939,We will encourage academic institutions towards excellence and motivate more such institutions to rank among the top institutions of the world,2019
Improving Infrastructure for Ease of Living MODI KI We have enacted the long-awaited Nari Shakti Vandan Adhiniyam. We will systematically implement this to ensure representation for women in the Parliament and State Legislatures.,Low Confidence: Partial,0.5698,"We will transform the quality of life of women in Rural India by providing electricity, tapped water, cleaner fuel and toilets in every home.",2014
"We will focus on the modern road network, enhance rail and metro connectivity with new-age trains and expanded networks, develop comprehensive EV charging stations, construct new airports and advance GUARANTEE FOR Expanding Shakti Desks our telecom infrastructure with affordable 5G and innovative 6G technology, promoting ease of living for",Moderate Confidence: Unlikely,0.6267,Modernize and equip all stations with requisite infrastructure and public utilities.,2014
We have established Shakti Desks (Women Help Desks) in police stations. We will further ensure their middle class families. NARI SHAKTI expansion for timely investigation and resolution of issues. Developing Sustainable Cities Strengthening Emergency Helpline 112,Low Confidence: Partial,0.5231,"Make police stations women friendly, and increase the number of women in police at different levels.",2014
"We will develop more green spaces like parks, playgrounds etc., revive water bodies like lakes and ponds",Low Confidence: Partial,0.5518,We will ensure sustainability of water supply through special focus on conservation of rural water bodies and ground water recharge,2019
"We will strengthen the Emergency Response Support System and enhance the capabilities of and develop other natural spaces to make cities more adaptable, sustainable and people-friendly. Emergency Helpline 112 Our vision is to create a Viksit Bharat where Nari Shakti is an equal partner and stakeholder in society’s progress. Through a series of legal and policy frameworks, we will ensure the dignity of women and provide them with equal growth opportunities. Three Crore Lakhpati Didis",Low Confidence: Highly Likely,0.597,"A full-fledged programme for 'Rural Rejuvenation' will be made and implemented which will comprise of integrated strategies for personal, economic and social well-being of the villagers. Through the idea of Rurban, we will bring urban amenities to our rural areas, while retaining the soul of the village. Major thrust area for rural development would be to improve village level infrastructure in terms of roads, potable water, education, health, supply chain, electricity, broadband, job creation, security in rural areas and linkage to markets.",2014
We have empowered one crore rural women to become Lakhpati Didis. We will now empower three crore Empowering the Neo-Middle Class rural women to become Lakhpati Didis. The last 10 years have seen a large number of families join the ranks of the neo-middle class due to a Integrating Women SHGs in the Service Sector steady increase in the incomes of all citizens. It is our responsibility to help them grow further while,Low Confidence: Partial,0.5241,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019
"giving them enough support to stabilise their standard of living. This includes support for affordable We will empower women Self-Help Groups (SHGs) with the skills and tools in key service sectors like IT, quality housing and healthcare, access to quality education and ample employment opportunities. healthcare, education, retail and tourism with an aim to increase their income. Fulfilling the Dream of Owning a Home Enhancing Market Access for Women SHG Enterprises",Moderate Confidence: Partial,0.6323,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019
We will strengthen the RERA act which has helped make the real estate sector in Bharat more We will integrate women Self-Help Groups (SHGs) with ongoing initiatives such as One District One,Low Confidence: Partial,0.547,We are committed to make women equal partners in and equal beneficiaries of the progress and prosperity of the nation and will formulate a comprehensive ‘Women in Workforce’ roadmap focussed on dramatically increasing the female workforce participation rate over the next five years. We will also encourage industries and corporates to generate better employment opportunities for women.,2019
"transparent and citizen friendly than ever before. We will work with the state governments to facilitate Product (ODOP), Farmer Producer Organizations (FPOs), Ekta Mall, ONDC, GEM, One Station One Product, home ownership for middle-class parivar jan through comprehensive measures including cost reduction enhancing better market access for their products. in construction and registration, regulatory reforms like enabling automatic approvals for standard Facilitating Participation of Women in the Workforce housing designs, among others.",Low Confidence: Partial,0.581,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019
"We will ensure development of infrastructure such as working women’s hostels, creches etc. with the specific focus on locations near industrial and commercial centres to facilitate increased participation of women in the workforce.",High Confidence: Partial,0.7123,Expand and improve upon the network of women / working women hostels.,2014
15 15,Indeterminate,0.4078,people-centric,2014
Our women sports persons have brought honours to our country. We will encourage greater participation of women in sports by launching women sportsperson-focused programmes and facilities. Constructing and Maintaining Public Toilets for Women We have provided dignified lives to women by constructing public and individual toilets under Swachh Bharat Mission. We are further committed to upholding the dignity of women by continuing to construct and maintain public toilets. Ensuring Women’s Health and Well-Being,Moderate Confidence: Partial,0.6016,"We will provide adequate resources under the Khelo India scheme to ensure the achievement of declared objectives. Under this scheme, special attention will be given to encourage sporting talent among women.",2019
"We will expand the existing health services focussed on the prevention and reduction of Anaemia, Breast",Low Confidence: Highly Likely,0.5705,Will initiate the New Health Policy,2014
"Cancer, Cervical Cancer and Osteoporosis, ensuring a healthy life for women. We will launch a focussed initiative to eliminate cervical cancer. Implementing the Nari Shakti Vandan Adhiniyam",Indeterminate,0.4773,"We will ensure that all reproductive and menstrual health services are easily available to all women across India and with the expansion of ongoing Suvidha scheme, sanitary pads at an affordable cost of just Rs. will be provided to all women and girls",2019
We have enacted the long-awaited Nari Shakti Vandan Adhiniyam. We will systematically implement this to ensure representation for women in the Parliament and State Legislatures. Expanding Shakti Desks,Low Confidence: Partial,0.5698,We are committed to make women equal partners in and equal beneficiaries of the progress and prosperity of the nation and will formulate a comprehensive ‘Women in Workforce’ roadmap focussed on dramatically increasing the female workforce participation rate over the next five years. We will also encourage industries and corporates to generate better employment opportunities for women.,2019
We have established Shakti Desks (Women Help Desks) in police stations. We will further ensure their expansion for timely investigation and resolution of issues. Strengthening Emergency Helpline 112,Low Confidence: Partial,0.5514,"Make police stations women friendly, and increase the number of women in police at different levels.",2014
We will strengthen the Emergency Response Support System and enhance the capabilities of Emergency Helpline 112 Three Crore Lakhpati Didis,Low Confidence: Highly Likely,0.546,Universalization of emergency medical services-108.,2014
We have empowered one crore rural women to become Lakhpati Didis. We will now empower three crore rural women to become Lakhpati Didis. Integrating Women SHGs in the Service Sector,Moderate Confidence: Partial,0.6309,"We will enable women with training and skills - setting up dedicated Women ITIs, Women wings in other ITIs.",2014
"We will empower women Self-Help Groups (SHGs) with the skills and tools in key service sectors like IT, healthcare, education, retail and tourism with an aim to increase their income. Enhancing Market Access for Women SHG Enterprises",Moderate Confidence: Partial,0.6252,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019
"We will integrate women Self-Help Groups (SHGs) with ongoing initiatives such as One District One Product (ODOP), Farmer Producer Organizations (FPOs), Ekta Mall, ONDC, GEM, One Station One Product, enhancing better market access for their products. Facilitating Participation of Women in the Workforce",Moderate Confidence: Partial,0.6469,We are committed to make women equal partners in and equal beneficiaries of the progress and prosperity of the nation and will formulate a comprehensive ‘Women in Workforce’ roadmap focussed on dramatically increasing the female workforce participation rate over the next five years. We will also encourage industries and corporates to generate better employment opportunities for women.,2019
"We will ensure development of infrastructure such as working women’s hostels, creches etc. with the specific focus on locations near industrial and commercial centres to facilitate increased participation of women in the workforce. 1166",High Confidence: Partial,0.7217,Expand and improve upon the network of women / working women hostels.,2014
"Our women sports persons have brought honours to our country. We will encourage greater Involving the Youth in Nation Building We recognize the entrepreneurial potential of our youth. We will expand credit programmes like Mudra participation of women in sports by launching women sportsperson-focused programmes and facilities. to support all aspiring entrepreneurs in starting and sustaining their ventures. The Mudra loan limit will We have launched ‘Mera Yuva Bharat (MY Bharat)’ to involve the youth in nation building. One crore be doubled up to ₹20 lakh and provided to entrepreneurs who have availed and successfully repaid Constructing and Maintaining Public Toilets for Women youth have already enrolled in MY Bharat. This will be enhanced to develop leadership skills and spirit of previous loans under the Tarun category. volunteering by providing equitable access for participation in government initiatives. We have provided dignified lives to women by constructing public and individual toilets under Swachh Providing New Employment Opportunities in Tourism Bharat Mission. We are further committed to upholding the dignity of women by continuing to construct and maintain public toilets. Our rich cultural heritage is the centre of global attraction. Our efforts at improving connectivity, building",Moderate Confidence: Partial,0.6016,"We will provide adequate resources under the Khelo India scheme to ensure the achievement of declared objectives. Under this scheme, special attention will be given to encourage sporting talent among women.",2019
better infrastructure and reaching out to the world has significantly increased tourist footfall. We will Ensuring Women’s Health and Well-Being Expanding the Startup Ecosystem expand the range of programmes to further expand the tourism sector and increase employment,Moderate Confidence: Partial,0.6099,Expand and improve upon the network of women / working women hostels.,2014
